hmm_id,K,pair_id,contrast,pair_role,n_train,method,alpha,beta,shape_rmse,excess_ce_H,recovery_ratio,test_ce_h1,bayes_ce_h1,test_ce_h2,bayes_ce_h2,test_ce_h3,bayes_ce_h3,test_ce_h4,bayes_ce_h4
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,additive,0.1,,0.1811758517212367,0.2378568145499795,-174.86894987988148,1.6578853689138435,1.6550004099930342,1.6687326038065944,1.6537703575796874,1.7290330165417025,1.6536723418286978,1.891521162345624,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.1,1.0,0.1179434043702879,0.1596047792280712,-116.30209073590872,1.6578823001140568,1.6550004099930342,1.6679863800883,1.6537703575796874,1.7135643736905333,1.6536723418286978,1.813269127023716,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.1,5.0,0.0684925016063054,0.0964749682800132,-69.06035937844105,1.6578703805719608,1.6550004099930342,1.6664200253012391,1.6537703575796874,1.695591700893689,1.6536723418286978,1.7501393160756575,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.1,20.0,0.0329250449173672,0.0496154789009111,-34.017412464957616,1.6578304478491053,1.6550004099930342,1.664059387903663,1.6537703575796874,1.6787768582881208,1.6536723418286978,1.7032798266965554,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,additive,0.5,,0.1028075487298524,0.1382914121607779,-100.34782654130504,1.6578848223243448,1.6550004099930342,1.6663246875260764,1.6537703575796874,1.7017822766409725,1.6536723418286978,1.7919557599564222,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.5,1.0,0.0734564360295481,0.1022047317307692,-73.34029365077382,1.6578818856341395,1.6550004099930342,1.6660362114515077,1.6537703575796874,1.695633559171008,1.6536723418286978,1.7558690795264136,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.5,5.0,0.0476379336731322,0.0692070304822736,-48.6511014855712,1.6578704807216662,1.6550004099930342,1.6652127507519696,1.6537703575796874,1.686271376658766,1.6536723418286978,1.722871378277918,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,0.5,20.0,0.0253623985479372,0.039647740310887,-26.555493389964777,1.6578322972551618,1.6550004099930342,1.6635533579647757,1.6537703575796874,1.6752730515285896,1.6536723418286978,1.693312088106531,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,additive,1.0,,0.0969200506105167,0.1305601161241405,-94.5546301758516,1.6578935969536464,1.6550004099930342,1.6660036113593344,1.6537703575796874,1.698945332974666,1.6536723418286978,1.7842244639197848,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,1.0,1.0,0.0717486152273294,0.0996309492481748,-71.40724238071404,1.6578907798790885,1.6550004099930342,1.6657551252908758,1.6537703575796874,1.6937141786919383,1.6536723418286978,1.7532952970438191,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,1.0,5.0,0.0479093639227415,0.0692551347512853,-48.68010059582853,1.6578798403757051,1.6550004099930342,1.665020327814156,1.6537703575796874,1.6853655894485555,1.6536723418286978,1.7229194825469296,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,64,interpolated_backoff,1.0,20.0,0.0257812760761613,0.0400806035855809,-26.871294024880942,1.6578432312396325,1.6550004099930342,1.663489052775454,1.6537703575796874,1.675039344214508,1.6536723418286978,1.6937449513812253,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,additive,0.1,,0.1321875022494619,0.1697107548960583,-124.5880541099837,1.656917713348985,1.6550004099930342,1.6620443268939855,1.6537703575796874,1.6981726143956304,1.6536723418286978,1.8233751026917029,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.1,1.0,0.0899027022545949,0.1184261032344342,-86.20355479818835,1.6569171401835896,1.6550004099930342,1.661858006102125,1.6537703575796874,1.6909752369448363,1.6536723418286978,1.7720904510300786,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.1,5.0,0.0551471130160675,0.0752444916759558,-53.88515915961662,1.6569149153180978,1.6550004099930342,1.661359307198442,1.6537703575796874,1.6819034627815077,1.6536723418286978,1.7289088394716,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.1,20.0,0.02846795255005,0.0411622400648383,-28.381224527390927,1.6569075066538004,1.6550004099930342,1.6604413931769488,1.6537703575796874,1.6722273303960824,1.6536723418286978,1.694826587860483,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,additive,0.5,,0.0759541254077672,0.1000040361723473,-72.4149446588559,1.656917513883212,1.6550004099930342,1.6612408959960407,1.6537703575796874,1.6837290966074852,1.6536723418286978,1.7536683839679916,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.5,1.0,0.0571193373661214,0.0772178477752481,-55.36062529168536,1.656916956894804,1.6550004099930342,1.6611561226921772,1.6537703575796874,1.680853511833307,1.6536723418286978,1.7308821955708924,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.5,5.0,0.0390250811042294,0.0547091829183272,-38.51522399600153,1.6569147959089092,1.6550004099930342,1.660876239947124,1.6537703575796874,1.676156332631257,1.6536723418286978,1.7083735307139716,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,0.5,20.0,0.0222614424235852,0.0331684238100189,-22.398026229965254,1.656907615463659,1.6550004099930342,1.6602130283567664,1.6537703575796874,1.6697891490621737,1.6536723418286978,1.6868327716056633,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,additive,1.0,,0.0709278425909616,0.0936136215222904,-67.63041133113506,1.656919533344475,1.6550004099930342,1.6610839148790233,1.6537703575796874,1.6819602154506166,1.6536723418286978,1.7472779693179348,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,1.0,1.0,0.0549564101854559,0.0742805681246761,-53.16064180150385,1.656918992020345,1.6550004099930342,1.661010866929565,1.6537703575796874,1.6794740323941248,1.6536723418286978,1.7279449159203204,1.6536643477956443
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,128,interpolated_backoff,1.0,5.0,0.0383890226806968,0.0536965803314597,-37.75575373034904,1.6569168928340217,1.6550004099930342,1.6607644834300288,1.6537703575796874,1.6752352871520777,1.6536723418286978,1.707360928127104,1.6536643477956443
