pair_id,pair_type,architecture,dimension,seed,hmm_a,hmm_b,raw_b_minus_a,signed_expected_effect
strict_rank_K6,rank_contrast,Transformer,128,4,bank_K6_i000841,bank_K6_i000250,0.0127466870317387,0.0127466870317387
strict_rank_K6,rank_contrast,Transformer,128,5,bank_K6_i000841,bank_K6_i000250,-0.0111856832297359,-0.0111856832297359
strict_sigma_K6,sigma_contrast,GRU,8,1,bank_K6_i001071,bank_K6_i000724,-0.0007156257819418,-0.0007156257819418
strict_sigma_K6,sigma_contrast,GRU,8,2,bank_K6_i001071,bank_K6_i000724,-0.0048150130208066,-0.0048150130208066
strict_sigma_K6,sigma_contrast,GRU,8,3,bank_K6_i001071,bank_K6_i000724,-0.0103043784411488,-0.0103043784411488
strict_sigma_K6,sigma_contrast,GRU,8,4,bank_K6_i001071,bank_K6_i000724,-0.0084307673892468,-0.0084307673892468
strict_sigma_K6,sigma_contrast,GRU,8,5,bank_K6_i001071,bank_K6_i000724,0.0058942196163239,0.0058942196163239
strict_sigma_K6,sigma_contrast,GRU,32,1,bank_K6_i001071,bank_K6_i000724,-0.0181864933873222,-0.0181864933873222
strict_sigma_K6,sigma_contrast,GRU,32,2,bank_K6_i001071,bank_K6_i000724,0.0132904146920787,0.0132904146920787
strict_sigma_K6,sigma_contrast,GRU,32,3,bank_K6_i001071,bank_K6_i000724,-0.0020050850091556,-0.0020050850091556
strict_sigma_K6,sigma_contrast,GRU,32,4,bank_K6_i001071,bank_K6_i000724,-0.0280182583622644,-0.0280182583622644
strict_sigma_K6,sigma_contrast,GRU,32,5,bank_K6_i001071,bank_K6_i000724,-0.0108973347565279,-0.0108973347565279
strict_sigma_K6,sigma_contrast,GRU,128,1,bank_K6_i001071,bank_K6_i000724,0.0085645223532641,0.0085645223532641
strict_sigma_K6,sigma_contrast,GRU,128,2,bank_K6_i001071,bank_K6_i000724,-0.0036764349315487,-0.0036764349315487
strict_sigma_K6,sigma_contrast,GRU,128,3,bank_K6_i001071,bank_K6_i000724,-0.0295149930783559,-0.0295149930783559
strict_sigma_K6,sigma_contrast,GRU,128,4,bank_K6_i001071,bank_K6_i000724,-0.0232657560193317,-0.0232657560193317
strict_sigma_K6,sigma_contrast,GRU,128,5,bank_K6_i001071,bank_K6_i000724,-0.0081195791244887,-0.0081195791244887
strict_sigma_K6,sigma_contrast,Transformer,8,1,bank_K6_i001071,bank_K6_i000724,-0.0004821552501334,-0.0004821552501334
strict_sigma_K6,sigma_contrast,Transformer,8,2,bank_K6_i001071,bank_K6_i000724,-0.0037740363648442,-0.0037740363648442
strict_sigma_K6,sigma_contrast,Transformer,8,3,bank_K6_i001071,bank_K6_i000724,0.0110266055387286,0.0110266055387286
strict_sigma_K6,sigma_contrast,Transformer,8,4,bank_K6_i001071,bank_K6_i000724,-0.0160039932880041,-0.0160039932880041
strict_sigma_K6,sigma_contrast,Transformer,8,5,bank_K6_i001071,bank_K6_i000724,-0.0255861328002365,-0.0255861328002365
strict_sigma_K6,sigma_contrast,Transformer,32,1,bank_K6_i001071,bank_K6_i000724,-0.0083421311135277,-0.0083421311135277
strict_sigma_K6,sigma_contrast,Transformer,32,2,bank_K6_i001071,bank_K6_i000724,-0.0397760591390825,-0.0397760591390825
strict_sigma_K6,sigma_contrast,Transformer,32,3,bank_K6_i001071,bank_K6_i000724,-0.0085188576115495,-0.0085188576115495
strict_sigma_K6,sigma_contrast,Transformer,32,4,bank_K6_i001071,bank_K6_i000724,-0.0215175693663157,-0.0215175693663157
strict_sigma_K6,sigma_contrast,Transformer,32,5,bank_K6_i001071,bank_K6_i000724,-0.011406239128367,-0.011406239128367
strict_sigma_K6,sigma_contrast,Transformer,128,1,bank_K6_i001071,bank_K6_i000724,-0.021719426076562,-0.021719426076562
strict_sigma_K6,sigma_contrast,Transformer,128,2,bank_K6_i001071,bank_K6_i000724,-0.0027372035257073,-0.0027372035257073
strict_sigma_K6,sigma_contrast,Transformer,128,3,bank_K6_i001071,bank_K6_i000724,0.0025539476723669,0.0025539476723669
strict_sigma_K6,sigma_contrast,Transformer,128,4,bank_K6_i001071,bank_K6_i000724,0.0132353627738159,0.0132353627738159
strict_sigma_K6,sigma_contrast,Transformer,128,5,bank_K6_i001071,bank_K6_i000724,-0.0045950266753831,-0.0045950266753831
