pair_id,pair_type,architecture,dimension,seed,hmm_a,hmm_b,raw_b_minus_a,signed_expected_effect
strict_sigma_K3,sigma_contrast,GRU,128,3,bank_K3_i000970,bank_K3_i001094,-0.0130011580652972,-0.0130011580652972
strict_sigma_K3,sigma_contrast,GRU,128,4,bank_K3_i000970,bank_K3_i001094,-0.0237941732050384,-0.0237941732050384
strict_sigma_K3,sigma_contrast,GRU,128,5,bank_K3_i000970,bank_K3_i001094,-0.0197981186818324,-0.0197981186818324
strict_sigma_K3,sigma_contrast,Transformer,8,1,bank_K3_i000970,bank_K3_i001094,-0.0026415785237931,-0.0026415785237931
strict_sigma_K3,sigma_contrast,Transformer,8,2,bank_K3_i000970,bank_K3_i001094,-0.0061038728628298,-0.0061038728628298
strict_sigma_K3,sigma_contrast,Transformer,8,3,bank_K3_i000970,bank_K3_i001094,0.0109069259001635,0.0109069259001635
strict_sigma_K3,sigma_contrast,Transformer,8,4,bank_K3_i000970,bank_K3_i001094,0.0035841482272967,0.0035841482272967
strict_sigma_K3,sigma_contrast,Transformer,8,5,bank_K3_i000970,bank_K3_i001094,0.0004191632968413,0.0004191632968413
strict_sigma_K3,sigma_contrast,Transformer,32,1,bank_K3_i000970,bank_K3_i001094,0.0310285136612323,0.0310285136612323
strict_sigma_K3,sigma_contrast,Transformer,32,2,bank_K3_i000970,bank_K3_i001094,-0.0160156091564169,-0.0160156091564169
strict_sigma_K3,sigma_contrast,Transformer,32,3,bank_K3_i000970,bank_K3_i001094,-0.0156337204293802,-0.0156337204293802
strict_sigma_K3,sigma_contrast,Transformer,32,4,bank_K3_i000970,bank_K3_i001094,0.0015811610223721,0.0015811610223721
strict_sigma_K3,sigma_contrast,Transformer,32,5,bank_K3_i000970,bank_K3_i001094,0.0153345423974992,0.0153345423974992
strict_sigma_K3,sigma_contrast,Transformer,128,1,bank_K3_i000970,bank_K3_i001094,-0.0398445807035762,-0.0398445807035762
strict_sigma_K3,sigma_contrast,Transformer,128,2,bank_K3_i000970,bank_K3_i001094,-0.0007036824320507,-0.0007036824320507
strict_sigma_K3,sigma_contrast,Transformer,128,3,bank_K3_i000970,bank_K3_i001094,-0.0095854795807689,-0.0095854795807689
strict_sigma_K3,sigma_contrast,Transformer,128,4,bank_K3_i000970,bank_K3_i001094,-0.0109283444245926,-0.0109283444245926
strict_sigma_K3,sigma_contrast,Transformer,128,5,bank_K3_i000970,bank_K3_i001094,-0.0165088853715111,-0.0165088853715111
strict_rank_K4,rank_contrast,GRU,8,1,bank_K4_i000559,bank_K4_i000184,-0.0011255724685391,-0.0011255724685391
strict_rank_K4,rank_contrast,GRU,8,2,bank_K4_i000559,bank_K4_i000184,-0.0006323058319403,-0.0006323058319403
strict_rank_K4,rank_contrast,GRU,8,3,bank_K4_i000559,bank_K4_i000184,0.0147933649732428,0.0147933649732428
strict_rank_K4,rank_contrast,GRU,8,4,bank_K4_i000559,bank_K4_i000184,0.0053881277171684,0.0053881277171684
strict_rank_K4,rank_contrast,GRU,8,5,bank_K4_i000559,bank_K4_i000184,0.0129368487049224,0.0129368487049224
strict_rank_K4,rank_contrast,GRU,32,1,bank_K4_i000559,bank_K4_i000184,-0.0216387500506328,-0.0216387500506328
strict_rank_K4,rank_contrast,GRU,32,2,bank_K4_i000559,bank_K4_i000184,-0.0023285056651532,-0.0023285056651532
strict_rank_K4,rank_contrast,GRU,32,3,bank_K4_i000559,bank_K4_i000184,-0.0105259941442476,-0.0105259941442476
strict_rank_K4,rank_contrast,GRU,32,4,bank_K4_i000559,bank_K4_i000184,-0.006589513638878,-0.006589513638878
strict_rank_K4,rank_contrast,GRU,32,5,bank_K4_i000559,bank_K4_i000184,-0.0038198793689058,-0.0038198793689058
strict_rank_K4,rank_contrast,GRU,128,1,bank_K4_i000559,bank_K4_i000184,0.0083083218469187,0.0083083218469187
strict_rank_K4,rank_contrast,GRU,128,2,bank_K4_i000559,bank_K4_i000184,-0.0262740760854104,-0.0262740760854104
strict_rank_K4,rank_contrast,GRU,128,3,bank_K4_i000559,bank_K4_i000184,0.0162742109140146,0.0162742109140146
strict_rank_K4,rank_contrast,GRU,128,4,bank_K4_i000559,bank_K4_i000184,-0.0369702032548716,-0.0369702032548716
strict_rank_K4,rank_contrast,GRU,128,5,bank_K4_i000559,bank_K4_i000184,-0.0060334174938244,-0.0060334174938244
strict_rank_K4,rank_contrast,Transformer,8,1,bank_K4_i000559,bank_K4_i000184,-0.0133303609766918,-0.0133303609766918
strict_rank_K4,rank_contrast,Transformer,8,2,bank_K4_i000559,bank_K4_i000184,0.0106838317500031,0.0106838317500031
strict_rank_K4,rank_contrast,Transformer,8,3,bank_K4_i000559,bank_K4_i000184,-0.0129596253600246,-0.0129596253600246
strict_rank_K4,rank_contrast,Transformer,8,4,bank_K4_i000559,bank_K4_i000184,0.0034473702391965,0.0034473702391965
strict_rank_K4,rank_contrast,Transformer,8,5,bank_K4_i000559,bank_K4_i000184,0.0086199748311085,0.0086199748311085
strict_rank_K4,rank_contrast,Transformer,32,1,bank_K4_i000559,bank_K4_i000184,0.0015915580004288,0.0015915580004288
strict_rank_K4,rank_contrast,Transformer,32,2,bank_K4_i000559,bank_K4_i000184,-0.0080641095685543,-0.0080641095685543
strict_rank_K4,rank_contrast,Transformer,32,3,bank_K4_i000559,bank_K4_i000184,0.0052197890894565,0.0052197890894565
strict_rank_K4,rank_contrast,Transformer,32,4,bank_K4_i000559,bank_K4_i000184,-0.009108737725556,-0.009108737725556
strict_rank_K4,rank_contrast,Transformer,32,5,bank_K4_i000559,bank_K4_i000184,0.0075290253832428,0.0075290253832428
strict_rank_K4,rank_contrast,Transformer,128,1,bank_K4_i000559,bank_K4_i000184,-0.0076201290366763,-0.0076201290366763
strict_rank_K4,rank_contrast,Transformer,128,2,bank_K4_i000559,bank_K4_i000184,-0.0090082197219567,-0.0090082197219567
strict_rank_K4,rank_contrast,Transformer,128,3,bank_K4_i000559,bank_K4_i000184,-0.0020291852887224,-0.0020291852887224
strict_rank_K4,rank_contrast,Transformer,128,4,bank_K4_i000559,bank_K4_i000184,-0.0042640323177109,-0.0042640323177109
strict_rank_K4,rank_contrast,Transformer,128,5,bank_K4_i000559,bank_K4_i000184,0.0018526802761473,0.0018526802761473
strict_sigma_K4,sigma_contrast,GRU,8,1,bank_K4_i001237,bank_K4_i000146,-0.0147682506815716,-0.0147682506815716
strict_sigma_K4,sigma_contrast,GRU,8,2,bank_K4_i001237,bank_K4_i000146,-0.0159212869439361,-0.0159212869439361
strict_sigma_K4,sigma_contrast,GRU,8,3,bank_K4_i001237,bank_K4_i000146,-0.0294014856470044,-0.0294014856470044
strict_sigma_K4,sigma_contrast,GRU,8,4,bank_K4_i001237,bank_K4_i000146,-0.0039206652506031,-0.0039206652506031
