status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,shape_rmse,excess_ce_H,recovery_ratio
done,confirm_K3_i000079,GRU,8,1,256,47,1.7010240852832794,16,48,576,cpu,1.6896230056881905,1.6946901232004166,1.6618441045284271,1.6817243620753288,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed1/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0122880351388635,0.0280600142796845,5.911883165538391
done,confirm_K3_i000079,GRU,8,2,256,41,1.6549757458269596,16,48,576,cpu,1.6779401302337646,1.7184493616223335,1.6604834720492363,1.7147256433963776,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed2/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0332017422964426,0.0610612956007332,-27.53278495153593
done,confirm_K3_i000079,GRU,8,3,256,36,1.691755522042513,16,44,576,cpu,1.68850127607584,1.6729512512683868,1.662523292005062,1.7132559046149254,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed3/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0349583859762252,0.059591556819281,-18.528051004994595
done,confirm_K3_i000079,GRU,8,4,256,31,1.6794316470623016,16,39,576,cpu,1.714026190340519,1.6276182159781456,1.653600737452507,1.665163017809391,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed4/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0308637371417643,0.0114986700137467,36.57252830488398
done,confirm_K3_i000079,GRU,8,5,256,27,1.6829985491931438,16,35,576,cpu,1.7343612760305405,1.648333728313446,1.6621148213744164,1.7350851520895958,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d8/n256/seed5/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0567324708463817,0.0814208042939514,-0.5417981741190425
done,confirm_K3_i000079,GRU,32,1,256,32,1.606456995010376,16,40,6888,cpu,1.6852501183748243,1.6286879777908323,1.6219978854060173,1.620100811123848,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed1/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0322010438127779,-0.0335635366717963,48.76218141509452
done,confirm_K3_i000079,GRU,32,2,256,41,1.689136054366827,16,48,6888,cpu,1.672576583921909,1.7080692648887634,1.6396257877349854,1.6307962834835052,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed2/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0437844063526592,-0.022868064312139,31.27122413913426
done,confirm_K3_i000079,GRU,32,3,256,23,1.641624327749014,16,31,6888,cpu,1.6645520329475405,1.5439060181379318,1.7119669169187546,1.708658680319786,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed3/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0855194614932523,0.0549943325241417,-33.012420722935815
done,confirm_K3_i000079,GRU,32,4,256,47,1.6743560805916786,16,48,6888,cpu,1.6070260554552078,1.6361117660999298,1.6297473311424255,1.7015286684036257,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed4/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0682495636429956,0.0478643206079811,-70.73219580123974
done,confirm_K3_i000079,GRU,32,5,256,42,1.6623423285782335,16,48,6888,cpu,1.6042696982622149,1.6910139620304108,1.6123037934303284,1.677523493766785,project://predictor_specific_difficulty_v1/runs/confirm_K3_i000079/gru/d32/n256/seed5/DONE.json,1.6550004099930342,1.6537703575796874,1.6536723418286978,1.6536643477956443,0.0499936063750968,0.0238591459711403,-54.82813273788932
