hmm_id,source,generator_family,K,accepted_index,attempt_index,gen_seed,candidate_hmm_file,base_self_probability,transition_logit_scale,emission_logit_scale,state_location_scale,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,pred_h4_m3_sv1,pred_h4_m3_sv2,pred_h4_m3_signal,pred_h4_m3_effective_rank,pred_h4_m3_numerical_rank,pred_h4_m3_r90,pred_h4_m3_sigma90,pred_h4_m3_kappa90,pred_h4_m3_r95,pred_h4_m3_sigma95,pred_h4_m3_kappa95,pred_h4_m3_r99,pred_h4_m3_sigma99,pred_h4_m3_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,mean_transition_self_probability,stationary_transition_entropy,transition_density_gt_0p01,stationary_emission_entropy,mean_state_max_emission_probability,emission_density_gt_0p01,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m3_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m3_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,pred_h4_m3_sv5,base_ring_probability,support_size,preferred_emission_mass,residual_floor_mix
external_sticky_dense_logistic_normal_K3_i0000,external_generator_bank,sticky_dense_logistic_normal,3,0,0,2036371802,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0000.npz,0.7762099849336039,0.6698983260537921,0.4984002419591045,0.1243110274543151,8,0.3037328107168277,0.0732825431465225,1.997647974435116,1.9971769541826,1.996977054764553,1.996893667691652,0.0007543067434643,0.0011209803073142,0.0585051311455307,0.0159464686189293,0.0036771402317702,1.285883113944248,2,1,0.0585051311455307,1.0,2,0.0159464686189293,3.668845594822293,2,0.0159464686189293,3.668845594822293,0.0698439866188161,0.0192700858120146,0.0052495186740117,1.291160816591747,2,1,0.0698439866188161,1.0,2,0.0192700858120146,3.624477197463716,2,0.0192700858120146,3.624477197463716,0.0740414444773494,0.0206383832365764,0.0059080783629122,1.2956657261484037,2,1,0.0740414444773494,1.0,2,0.0206383832365764,3.587560305893015,2,0.0206383832365764,3.587560305893015,0.67024624188618,3.032565893168178,5.169857909989073,1.998730027004112,0.9611859660115654,0.2126268925617558,0.0732825431465225,0.1429642687242236,0.0732825431465225,0.2126268925617558,0.159034158155408,0.0782168124542937,0.1719624707904262,0.0831266371934862,0.0763734006842273,0.14537708501388,0.7774154569124799,0.6627822253054068,1.0,1.954984911867764,0.2244020250358065,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0001,external_generator_bank,sticky_dense_logistic_normal,3,1,1,2036372811,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0001.npz,0.7983307700605127,0.6065628939517731,1.188126248347382,0.1050911293089024,8,0.2669312406949969,0.0653180174471106,1.918006968782956,1.9038666980535883,1.8994984612007693,1.8980218350530809,0.019985133729875,0.0273066228780709,0.2980170238718547,0.1998275414981098,0.1287451928586164,1.857488172224892,2,2,0.1998275414981098,1.491371117502707,2,0.1998275414981098,1.491371117502707,2,0.1998275414981098,1.491371117502707,0.335211753726285,0.2435085483775522,0.1716633329691942,1.905161865881723,2,2,0.2435085483775522,1.3765913187020846,2,0.2435085483775522,1.3765913187020846,2,0.2435085483775522,1.3765913187020846,0.3443029668457265,0.259166528446811,0.1857118224459411,1.9239411058397304,2,2,0.259166528446811,1.3285009021386345,2,0.259166528446811,1.3285009021386345,2,0.259166528446811,1.3285009021386345,0.7604168995403346,4.173917100502477,5.622391762853491,1.9618607618611528,0.9434555973505766,0.2835689239598883,0.0653180174471106,0.1861000396214764,0.0847714961699766,0.107280686660636,0.1469958656348418,0.0729729988722304,0.0653180174471106,0.2835689239598883,0.1002489020412116,0.1388431092141046,0.809342304284623,0.5946012821910904,1.0,1.6540113022856118,0.3999616952495029,0.9166666666666666,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0002,external_generator_bank,sticky_dense_logistic_normal,3,2,2,2036373820,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0002.npz,0.880544872571321,1.0303777179348947,0.9942566890716642,0.2042564862711041,8,0.201788221753213,0.0374739811001574,1.9101737170834383,1.898981146422639,1.8928304072497333,1.889550833902392,0.0206228831810468,0.0333327690486364,0.2548199661416238,0.1119512626706953,0.0774663003579813,1.5567841347298432,2,2,0.1119512626706953,2.276168754712279,2,0.1119512626706953,2.276168754712279,2,0.1119512626706953,2.276168754712279,0.3164549527959638,0.1502214868304643,0.122710232254651,1.6116476124148529,2,2,0.1502214868304643,2.106589140294595,2,0.1502214868304643,2.106589140294595,2,0.1502214868304643,2.106589140294595,0.3426885203944397,0.1719728046203131,0.1470100675391067,1.6520650125443426,2,2,0.1719728046203131,1.992690188143631,2,0.1719728046203131,1.992690188143631,2,0.1719728046203131,1.992690188143631,0.8447368619528477,6.440678789425904,11.34765988513673,1.928420109449389,0.9273740428843952,0.2152385993310946,0.0374739811001574,0.1893277662981807,0.182240616171654,0.2096264929686943,0.0374739811001574,0.0703377168295214,0.2152385993310946,0.1420559689753144,0.0888704440890026,0.0541561805345611,0.8957747879252741,0.3575118608712076,0.7777777777777778,1.771807946641577,0.2864895574156139,0.9583333333333334,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0003,external_generator_bank,sticky_dense_logistic_normal,3,3,3,2036374829,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0003.npz,0.8335061555474117,1.2320019499513095,0.4977418524165727,0.6996154697514089,8,0.2251260812646307,0.0181628920325931,1.776751512600343,1.7673199020566768,1.7628191510141789,1.7605932924391867,0.0161582201611563,0.0251106883536385,0.2539882522137628,0.0464396073482392,0.0666666693932606,1.1535185878495162,2,1,0.2539882522137628,1.0,1,0.2539882522137628,1.0,2,0.0464396073482392,5.469216186716807,0.309214081785028,0.0776708288981177,0.1016461060358787,1.2525443114448738,2,1,0.309214081785028,1.0,2,0.0776708288981177,3.981083840248825,2,0.0776708288981177,3.981083840248825,0.331803762180218,0.0935123410141135,0.1188382945188865,1.3005817560385473,2,1,0.331803762180218,1.0,2,0.0935123410141135,3.548235009218088,2,0.0935123410141135,3.548235009218088,0.8583920302133287,7.061749430533278,11.36071622680312,1.7950622301570232,0.8632424591782069,0.3011762774892735,0.0181628920325931,0.2643536920279635,0.3011762774892735,0.0639481515243622,0.112342319450461,0.0181628920325931,0.1411644318300534,0.1033812203221545,0.0232208402070537,0.2366038671440483,0.8547783712647213,0.4842718996642415,0.8888888888888888,1.642063036185594,0.402668431232653,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0004,external_generator_bank,sticky_dense_logistic_normal,3,4,4,2036375838,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0004.npz,0.7275565568277962,1.130379530651329,0.7354894336429768,0.5506719440264939,8,0.2853403768322998,0.0305153379023707,1.8875677511501072,1.8826116583412136,1.881598087351176,1.88136241246863,0.0062053386814771,0.0076902594366066,0.2319164154221431,0.1104728524796316,0.0659894748772425,1.6141454776633135,2,2,0.1104728524796316,2.099306845226093,2,0.1104728524796316,2.099306845226093,2,0.1104728524796316,2.099306845226093,0.2511854541721464,0.1263446138153093,0.0790570938278071,1.6537547740691751,2,2,0.1263446138153093,1.9880978427725424,2,0.1263446138153093,1.9880978427725424,2,0.1263446138153093,1.9880978427725424,0.2544262742097307,0.1306872528358265,0.0818118870620203,1.6691439488199422,2,2,0.1306872528358265,1.946833135511304,2,0.1306872528358265,1.946833135511304,2,0.1306872528358265,1.946833135511304,0.5739010374004253,2.3468726464367085,3.5421472899915933,1.9136356402695616,0.920264216095091,0.2448972026861024,0.0305153379023707,0.1951180976301165,0.0305153379023707,0.1370253259589243,0.1835699613987743,0.0730927297670453,0.2448972026861024,0.0396061153776891,0.132337213072737,0.1589561138363568,0.7143338011090631,0.7794101077126487,1.0,1.6474307616244532,0.4045909920294603,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0005,external_generator_bank,sticky_dense_logistic_normal,3,5,5,2036376847,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0005.npz,0.9343377699845796,1.1406565044312529,0.8481162176367139,0.7056826623305631,8,0.2675319857292447,0.0805611045732896,2.003039166069612,1.9921835233932987,1.9855828367809143,1.9815963315936285,0.0214428344759831,0.0360165314629392,0.2602146706439606,0.1045693686571242,0.0786464276796944,1.4966230328850925,2,2,0.1045693686571242,2.488440678045849,2,0.1045693686571242,2.488440678045849,2,0.1045693686571242,2.488440678045849,0.3274563112243747,0.1422077059229677,0.1274506673845478,1.5487738044472903,2,2,0.1422077059229677,2.3026622157997125,2,0.1422077059229677,2.3026622157997125,2,0.1422077059229677,2.3026622157997125,0.3608531062867739,0.1644188542505462,0.1572485239498761,1.5823507038675493,2,2,0.1644188542505462,2.194718531105292,2,0.1644188542505462,2.194718531105292,2,0.1644188542505462,2.194718531105292,0.8837629305735135,8.603107467643484,16.192637815680243,2.020600075846799,0.9717032363480136,0.1929946324136702,0.0805611045732896,0.1225578523073578,0.0864310322045793,0.1279779513321608,0.1567971786181348,0.0863676420872287,0.0883682049843407,0.0805611045732896,0.1805022537865957,0.1929946324136702,0.922461223048665,0.3150064595331348,1.0,1.8816038162023088,0.2766292873285037,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0006,external_generator_bank,sticky_dense_logistic_normal,3,6,6,2036377856,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0006.npz,0.9384237206770204,0.433524438023487,0.8035606300806253,0.1556822566828967,8,0.2885707245803863,0.0496564397167244,1.918582162958776,1.902073561704672,1.890999406761876,1.883945757449367,0.0346364055094086,0.059817859077222,0.2756874878653291,0.1690180180817557,0.1045706814017807,1.7975067465133912,2,2,0.1690180180817557,1.631113007915974,2,0.1690180180817557,1.631113007915974,2,0.1690180180817557,1.631113007915974,0.3581418485817745,0.2373006766482488,0.1845771948432874,1.849861733664327,2,2,0.2373006766482488,1.5092323108401784,2,0.2373006766482488,1.5092323108401784,2,0.2373006766482488,1.5092323108401784,0.3997107476037365,0.2772728036796015,0.2366488894102848,1.878523753553573,2,2,0.2772728036796015,1.4415793482061672,2,0.2772728036796015,1.4415793482061672,2,0.2772728036796015,1.4415793482061672,0.9179023520849062,12.18061692868729,19.2284175080055,1.939356147693541,0.932633165598332,0.2461906032082108,0.0496564397167244,0.1865199398608025,0.1555143759902781,0.184610380080357,0.145145852947674,0.0622941023707346,0.0533884395793621,0.1031998061066586,0.0496564397167244,0.2461906032082108,0.936433929323762,0.2777667005558854,1.0,1.7625332909659914,0.3404018818867459,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0007,external_generator_bank,sticky_dense_logistic_normal,3,7,7,2036378865,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0007.npz,0.7887654227638614,0.594451671258166,1.382241519348264,0.187631727110368,8,0.2451956339383274,0.0276451657085427,1.6874199570945518,1.67524434533264,1.6722610391490291,1.6714763765022085,0.0159435805923435,0.0204962120695961,0.3348454946576689,0.1372473464299916,0.1309583393946131,1.5096389521134972,2,2,0.1372473464299916,2.439722904431308,2,0.1372473464299916,2.439722904431308,2,0.1372473464299916,2.439722904431308,0.3697195306009816,0.1629983432122437,0.1632609911977465,1.559209969402131,2,2,0.1629983432122437,2.268241034324881,2,0.1629983432122437,2.268241034324881,2,0.1629983432122437,2.268241034324881,0.3769971005646599,0.1713305008364723,0.1714809543510367,1.5805179519421666,2,2,0.1713305008364723,2.200408559620611,2,0.1713305008364723,2.200408559620611,2,0.1713305008364723,2.200408559620611,0.6834882988089813,3.1594408555419813,5.361799949652754,1.7371635168138888,0.8353990636402097,0.3022869744258135,0.0276451657085427,0.2922214080546497,0.2409685090081647,0.0353891379063225,0.0285450193477974,0.2131411075368433,0.0998222991399037,0.0276451657085427,0.3022869744258135,0.052201786926612,0.7877694591421598,0.6412720188173867,1.0,1.4329936417919935,0.4637020241039533,0.875,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0008,external_generator_bank,sticky_dense_logistic_normal,3,8,8,2036379874,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0008.npz,0.7666670803275332,0.975474360702122,0.415685407877773,0.4017135087316434,8,0.1953731661338416,0.0415677177912323,1.797344837069387,1.7958816380750255,1.7953109202111568,1.795077593004824,0.002267244064563,0.0033046163410974,0.1073272903229994,0.0369803286634483,0.012886691956134,1.402599147510263,2,2,0.0369803286634483,2.9022805962534006,2,0.0369803286634483,2.9022805962534006,2,0.0369803286634483,2.9022805962534006,0.1262200136827565,0.0443532723280901,0.0178987046202849,1.4138594618856903,2,2,0.0443532723280901,2.845788079605076,2,0.0443532723280901,2.845788079605076,2,0.0443532723280901,2.845788079605076,0.1330978786541492,0.047252530300327,0.0199478469220179,1.4198278062151788,2,2,0.047252530300327,2.816735480792401,2,0.047252530300327,2.816735480792401,2,0.047252530300327,2.816735480792401,0.7268037710512996,3.660372633429634,4.821732017186111,1.8012988610640015,0.866241644671991,0.3848625788020084,0.0415677177912323,0.2978938110358926,0.3848625788020084,0.170888078569525,0.0514455159555163,0.0982758216563212,0.0415677177912323,0.1035644771340121,0.0588711186192876,0.0905246914720968,0.772803260201611,0.6609431487633801,1.0,1.7189727630271443,0.3737792433201725,1.0,,,,,,,,,,,,,
external_sticky_dense_logistic_normal_K3_i0009,external_generator_bank,sticky_dense_logistic_normal,3,9,9,2036380883,project://predictive_profile_external_generator32_v1/candidate_bank/hmms/external_sticky_dense_logistic_normal_K3_i0009.npz,0.7348280985990953,1.1331871834932403,0.9907093907522696,0.2605731208458317,8,0.1864924838720321,0.0261497390141633,1.6412133322271711,1.6408757073949125,1.6407719083945176,1.640737151528175,0.0004761806989961,0.0006494934320762,0.0568361664459233,0.0126652005764242,0.0033907571219097,1.209865101112558,2,1,0.0568361664459233,1.0,1,0.0568361664459233,1.0,2,0.0126652005764242,4.487585182955683,0.0643934250557747,0.0153482567572595,0.0043820821759004,1.2329790486610497,2,1,0.0643934250557747,1.0,2,0.0153482567572595,4.19548787032882,2,0.0153482567572595,4.19548787032882,0.0665051670231384,0.0165719799936479,0.0046975677616854,1.2494647987603789,2,1,0.0665051670231384,1.0,2,0.0165719799936479,4.013109299469933,2,0.0165719799936479,4.013109299469933,0.7025652952422129,3.3620824470175386,3.5987791720376205,1.642382525426617,0.7898190415585574,0.4914941010022943,0.0261497390141633,0.3987350636438624,0.4914941010022943,0.066056761695791,0.0957328746214517,0.0776910003853599,0.0261497390141633,0.1200357870740086,0.0508882574848882,0.0719514787220426,0.7411663687892184,0.7135715981908519,1.0,1.5918606864207805,0.487131788002423,1.0,,,,,,,,,,,,,
