hmm_id,source,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5
bank_K3_i000000,bank,3,0,0.2,0.0,0.1,20560715,8,0.0669732922652949,2.34479994799496e-05,0.7900543629825079,0.786131024863715,0.7860834315464384,0.7860827561671997,0.0039716068153081,0.0040205508910622,0.4494944850524254,0.1050295852181876,0.2130765058636496,1.225927379014271,2,1,0.4494944850524254,1.0,2,0.1050295852181876,4.279693994017485,2,0.1050295852181876,4.279693994017485,0.4597597256599607,0.1054525114114518,0.2224992375019047,1.2195142796592533,2,1,0.4597597256599607,1.0,1,0.4597597256599607,1.0,2,0.1054525114114518,4.359874596690091,0.2512044199961583,1.335477968492909,1.6665298621974567,,,,,,
bank_K3_i000001,bank,3,1,0.2,0.0,0.5,20561724,8,0.0238539680667064,0.0144013954270812,1.588665810089339,1.5867557428040966,1.5867229610235527,1.5867183628786887,0.0019474472106502,0.001989425280922,0.1030340194359335,0.0411897428023799,0.0123126040732505,1.493223874760203,2,2,0.0411897428023799,2.5014484778472617,2,0.0411897428023799,2.5014484778472617,2,0.0411897428023799,2.5014484778472617,0.1141475996402102,0.0648005211962233,0.0172287820509239,1.7425285440434033,2,2,0.0648005211962233,1.761522863289299,2,0.0648005211962233,1.761522863289299,2,0.0648005211962233,1.761522863289299,0.2809085675480147,1.3906437413531156,1.3563556325565806,,,,,,
bank_K3_i000003,bank,3,3,0.2,2.0,0.1,20563742,8,0.2387686141545682,0.0004480061422415,0.674880477554293,0.660060568414708,0.6503990020463614,0.6426572440878076,0.0322232334664854,0.0573683157519396,0.9856228937324932,0.3114799315141649,1.068472236385683,1.3557979273612653,2,1,0.9856228937324932,1.0,2,0.3114799315141649,3.164322301411804,2,0.3114799315141649,3.164322301411804,0.9877258554617728,0.4220877577022921,1.1537604407498396,1.5377060849654896,2,2,0.4220877577022921,2.3400959573872258,2,0.4220877577022921,2.3400959573872258,2,0.4220877577022921,2.3400959573872258,0.9894287797895696,94.5964590741679,76.17354847175059,,,,,,
bank_K3_i000005,bank,3,5,0.2,2.0,2.0,20565760,8,0.0675415890604918,0.0393097015112721,1.983574393800988,1.9809801086534125,1.979542821722597,1.9787559749474573,0.0048184188535305,0.007829399334625,0.1355746094242789,0.0113127098852132,0.0185084521254927,1.042148434461524,2,1,0.1355746094242789,1.0,1,0.1355746094242789,1.0,1,0.1355746094242789,1.0,0.1689792031879815,0.0132506545647356,0.0287295509564391,1.0379488673803532,2,1,0.1689792031879815,1.0,1,0.1689792031879815,1.0,1,0.1689792031879815,1.0,0.7985464293965784,4.963922937700541,9.71616244775059,,,,,,
bank_K3_i000007,bank,3,7,0.2,8.0,0.5,20567778,8,0.0376994294034269,0.0032643380163705,1.6022425021551323,1.5800244937357324,1.5702428960598929,1.565725519184043,0.0365169829710894,0.0553333343986288,0.4875716546922446,0.2850377016802111,0.3189726098384705,1.7637707476931714,2,2,0.2850377016802111,1.7105514527311896,2,0.2850377016802111,1.7105514527311896,2,0.2850377016802111,1.7105514527311896,0.612502631409517,0.3513727543708028,0.4986222859977072,1.7501331175300463,2,2,0.3513727543708028,1.7431705326906035,2,0.3513727543708028,1.7431705326906035,2,0.3513727543708028,1.7431705326906035,0.9572999646031284,23.419184333352195,18.68492860595443,,,,,,
bank_K3_i000008,bank,3,8,0.2,8.0,2.0,20568787,8,0.0123129053644809,0.0472553157532719,1.9317386412200328,1.9064135449135249,1.8925671764098424,1.884823345419948,0.0469152958000851,0.0762493262835557,0.4241977549037683,0.0112676298704469,0.1800706947482949,1.0058385236498804,2,1,0.4241977549037683,1.0,1,0.4241977549037683,1.0,1,0.4241977549037683,1.0,0.529935773473498,0.020811849339234,0.2812650570798735,1.0115779757383674,2,1,0.529935773473498,1.0,1,0.529935773473498,1.0,1,0.529935773473498,1.0,0.9314328655417036,14.584246635072889,28.50875118770473,,,,,,
bank_K3_i000009,bank,3,9,1.0,0.0,0.1,20569796,8,0.0680737977953991,0.0081335411637101,1.341858560868944,1.3418383975192358,1.3418383475130016,1.3418383474593183,2.021340962543583e-05,2.026352322581637e-05,0.2835764842975959,0.0332788216588037,0.0815231024175831,1.0745379490007332,2,1,0.2835764842975959,1.0,1,0.2835764842975959,1.0,2,0.0332788216588037,8.52122972396703,0.2836055389509742,0.0336054380838343,0.0815614271924789,1.07573978549519,2,1,0.2836055389509742,1.0,1,0.2836055389509742,1.0,2,0.0336054380838343,8.439275162652926,0.2352016015882035,1.3075341188954244,1.47565901494288,,,,,,
bank_K3_i000010,bank,3,10,1.0,0.0,0.5,20570805,8,0.1782935554464592,0.0062094886521234,1.9068009393620249,1.9024853033924387,1.901178565011448,1.9007917755400583,0.0060091638219661,0.0080894811457357,0.1889866456220506,0.023963420851095,0.0362901977623612,1.0847036739181866,2,1,0.1889866456220506,1.0,1,0.1889866456220506,1.0,2,0.023963420851095,7.886463572808928,0.2228878720413806,0.0244542315987119,0.0502770129462182,1.066663086001154,2,1,0.2228878720413806,1.0,1,0.2228878720413806,1.0,2,0.0244542315987119,9.114490927333827,0.6588405151424036,2.93118041380972,2.7888334830678345,,,,,,
bank_K3_i000012,bank,3,12,1.0,2.0,0.1,20572823,8,0.139216700844157,0.009941251031536,1.3698759273484442,1.3603428429809044,1.3586959090298605,1.3584032994649826,0.0114726278834615,0.0137047809642609,0.457605393970844,0.319910323317804,0.3117453115565132,1.8831773667867144,2,2,0.319910323317804,1.4304177158929987,2,0.319910323317804,1.4304177158929987,2,0.319910323317804,1.4304177158929987,0.4775664541551878,0.3342475729549068,0.3397911581606048,1.8838575821816308,2,2,0.3342475729549068,1.428780618908536,2,0.3342475729549068,1.428780618908536,2,0.3342475729549068,1.428780618908536,0.6587676501800209,2.930554504951131,2.8328280044915988,,,,,,
bank_K3_i000013,bank,3,13,1.0,2.0,0.5,20573832,8,0.1660020134335768,0.0369360179082708,1.856937622879105,1.8324561794066976,1.8231739041991533,1.8195475532868133,0.0373900695922917,0.053925046624516,0.4323514299803478,0.1634771082941689,0.213652523942275,1.4578108395153777,2,2,0.1634771082941689,2.6447215423113124,2,0.1634771082941689,2.6447215423113124,2,0.1634771082941689,2.6447215423113124,0.4956335438236818,0.1963450476462042,0.2842039874984117,1.4873289784623882,2,2,0.1963450476462042,2.5242986760571013,2,0.1963450476462042,2.5242986760571013,2,0.1963450476462042,2.5242986760571013,0.8544820614604208,6.87200499152214,10.379578550347562,,,,,,
