hmm_id,source,cohort,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7
confirm_K4_i000739,bank,independent_confirmatory64,4,739,1.0,0.0,0.5,2027217811,8,0.177224468220035,0.0425058289174732,1.9851020750961503,1.984799673768686,1.984777761883426,1.98477612117078,0.0003259539253706,0.0003511472359225,0.0914887429695915,0.0423251987299206,0.0104901240630237,1.8047629832707,3,2,0.0423251987299206,2.1615667667241487,2,0.0423251987299206,2.1615667667241487,3,0.0181248869055923,5.0476862805341645,0.0945050909726926,0.0428596977880096,0.0111373870839287,1.798962167795378,3,2,0.0428596977880096,2.204987338924524,2,0.0428596977880096,2.204987338924524,3,0.0192151286670766,4.9182648011417305,0.2706190205994839,1.371025606976902,1.7904298092925728,0.0181248869055923,0.0192151286670766,,,,,1.9900328778537109,0.9570035213618472,0.1815446947200738,0.0425058289174732,0.1406163148358185,0.1702763299804763,0.063045743293492,0.0425058289174732,0.1642892523483305,0.1527943532926217,0.0876038941626166,0.1379399032849157,0.1815446947200738
confirm_K4_i000741,bank,independent_confirmatory64,4,741,1.0,2.0,0.1,2027219829,8,0.1829743775922019,0.0276367690564639,1.7089251539870598,1.705925114811617,1.7058718900406653,1.7058710092069962,0.0030541447800636,0.0031091312183535,0.4465837796603503,0.2517530779195783,0.263218839992187,1.7559269335707082,3,2,0.2517530779195783,1.7738960069557124,2,0.2517530779195783,1.7738960069557124,2,0.2517530779195783,1.7738960069557124,0.4517432848911906,0.2532190923862755,0.2686017097405622,1.751722648213431,3,2,0.2532190923862755,1.7840016747318346,2,0.2532190923862755,1.7840016747318346,2,0.2532190923862755,1.7840016747318346,0.2703177121236434,1.3704594679286617,2.097116561209474,0.0200538149607856,0.0202436544959092,,,,,1.839379151559952,0.8845543934233638,0.3105088693997435,0.0276367690564639,0.2489423980892835,0.0276367690564639,0.1369778716360649,0.0484602177038202,0.1701682044657277,0.3105088693997435,0.0430672785193623,0.1718232566237759,0.0913575325950413
confirm_K4_i000742,bank,independent_confirmatory64,4,742,1.0,2.0,0.5,2027220838,8,0.0699884804291073,0.0312831548900251,1.8721777473409116,1.8679982933484045,1.8673406456751025,1.8672188550092508,0.0049588923316605,0.0058601213366655,0.2406534458106852,0.1018968319631703,0.0687011397924082,1.5837172028206554,3,2,0.1018968319631703,2.361736289285884,2,0.1018968319631703,2.361736289285884,2,0.1018968319631703,2.361736289285884,0.2550077624531822,0.1124329797709275,0.0781743741056575,1.6165693632275184,3,2,0.1124329797709275,2.2680868458057284,2,0.1124329797709275,2.2680868458057284,2,0.1124329797709275,2.2680868458057284,0.4992608652501847,1.9970478251108352,2.7968818087160607,0.0201021005798225,0.0224552945674104,,,,,1.9018075934764649,0.9145761279444898,0.2735084671502804,0.0312831548900251,0.2070347008718906,0.0312831548900251,0.2735084671502804,0.1248344439077447,0.1727029993364977,0.0979566017050862,0.0327595860885644,0.1199352010646186,0.1470195458571826
confirm_K4_i000743,bank,independent_confirmatory64,4,743,1.0,2.0,2.0,2027221847,8,0.1527551488936334,0.0726409722426645,2.016711098188112,2.0140718689316617,2.013119898992824,2.012781731872134,0.0039293663159778,0.0055576704961954,0.1305135676805366,0.0729862636379537,0.0228320493085972,1.893106733121801,3,2,0.0729862636379537,1.7881935747244906,2,0.0729862636379537,1.7881935747244906,3,0.0217085992193494,6.012067677043229,0.1544426198440812,0.0816981788202959,0.0310983544002413,1.8352141599754963,3,2,0.0816981788202959,1.8904046831177796,2,0.0816981788202959,1.8904046831177796,3,0.0239006098956671,6.461869404934284,0.5784194916816175,2.372026173574392,3.958076813662661,0.0217085992193494,0.0239006098956671,,,,,2.024264389379712,0.9734653986687456,0.2182364803802686,0.0726409722426645,0.121098463479439,0.1337499553421842,0.0726409722426645,0.1121795263866157,0.098634271964946,0.1498087820835682,0.1303695095902226,0.2182364803802686,0.08438050200953
confirm_K4_i000744,bank,independent_confirmatory64,4,744,1.0,8.0,0.1,2027222856,8,0.0461449303821583,2.7392779023098828e-05,0.912985671140309,0.8797666061855793,0.8698777439695848,0.8677312122703995,0.0452544588699095,0.0594363844842746,0.6535258955560344,0.5267820728533169,0.786918501341482,2.5482419945736585,3,3,0.2869199416205293,2.277729083119519,3,0.2869199416205293,2.277729083119519,3,0.2869199416205293,2.277729083119519,0.6959167957341683,0.575902885459312,0.9714291750827544,2.737832176067853,3,3,0.3942903181888707,1.7649857570198164,3,0.3942903181888707,1.7649857570198164,3,0.3942903181888707,1.7649857570198164,0.8446431254536576,6.436792725909941,8.75504821183681,0.2869199416205293,0.3942903181888707,,,,,1.132952187748423,0.5448348342763173,0.6353289531096744,2.739277902309883e-05,0.5676620831589116,2.739277902309883e-05,0.6353289531096744,0.0004381089880943,0.0145780833655905,0.0444265219800219,0.1018460992814817,0.0296992658478448,0.1736555746482691
confirm_K4_i000745,bank,independent_confirmatory64,4,745,1.0,8.0,0.5,2027223865,8,0.0811679824030973,0.0635354635865834,1.9758589362840449,1.96113327035023,1.9548456743189817,1.9523777081073637,0.0234812281766811,0.034704756631166,0.2908129153548245,0.0965581085252678,0.1002154401097343,1.7133364354436222,3,2,0.0965581085252678,3.011791757278708,3,0.0794972958696372,3.658148521576265,3,0.0794972958696372,3.658148521576265,0.3527368372176762,0.1192791629281601,0.150089352589437,1.7771250979765862,3,2,0.1192791629281601,2.9572376981730133,3,0.106951192374209,3.2981103752774783,3,0.106951192374209,3.2981103752774783,0.7818994495258688,4.585041155678373,8.126287919514553,0.0794972958696372,0.106951192374209,,,,,2.003987111956608,0.9637140894750648,0.2072743499302685,0.0635354635865834,0.1382964368158297,0.1793749877939853,0.0885729617930163,0.1625566071048857,0.2072743499302685,0.0829490974259886,0.0915954609364067,0.0635354635865834,0.1241410714288651
confirm_K4_i000746,bank,independent_confirmatory64,4,746,1.0,8.0,2.0,2027224874,8,0.0719250943612675,0.0731927245004984,2.052447406112804,2.051170674133568,2.050445658681663,2.050020274908785,0.0024271312040187,0.0040029142016795,0.0787030994439735,0.0557930164764102,0.0096613656523525,2.1622510414790934,3,2,0.0557930164764102,1.4106263545949322,2,0.0557930164764102,1.4106263545949322,3,0.0188235783720186,4.181091282886273,0.1008591696494137,0.0678157734839205,0.0153172563323768,2.1209454027273966,3,2,0.0678157734839205,1.487252367228812,2,0.0678157734839205,1.487252367228812,3,0.0233603316925342,4.317540134999336,0.8126812496789307,5.338493868264515,7.895636494101689,0.0188235783720186,0.0233603316925342,,,,,2.0547454424307343,0.9881236866946732,0.1512669799070334,0.0731927245004984,0.0751262918540351,0.1448428248451347,0.1426801061643811,0.1512669799070334,0.1397921686479845,0.1333740033116056,0.1255506664222797,0.0731927245004984,0.0893005262010822
confirm_K4_i000748,bank,independent_confirmatory64,4,748,5.0,0.0,0.5,2027226892,8,0.2282547405968067,0.063516819983757,2.035202316784699,2.035114526908937,2.035111066048333,2.035110922356853,9.139442784578122e-05,9.514267141019772e-05,0.058790890431596,0.0305113524117208,0.0043905129465474,1.6861755195507389,3,2,0.0305113524117208,1.926852983711457,2,0.0305113524117208,1.926852983711457,2,0.0305113524117208,1.926852983711457,0.0597052135459396,0.0316614965773494,0.0045715886871183,1.7047862952368678,3,2,0.0316614965773494,1.8857356726672427,2,0.0316614965773494,1.8857356726672427,2,0.0316614965773494,1.8857356726672427,0.1966206030709934,1.2447419037911531,1.3846672826956548,0.0017892799711969,0.0021037578364833,,,,,2.037326220906516,0.9797468118582944,0.1647081355030773,0.063516819983757,0.0992224337597061,0.063516819983757,0.1228210439899335,0.1609277510475575,0.0844324112018939,0.1132715687471374,0.1647081355030773,0.1624295263516358,0.1278927431750073
confirm_K4_i000749,bank,independent_confirmatory64,4,749,5.0,0.0,2.0,2027227901,8,0.2329628106283703,0.0760013054398238,2.0385034010537337,2.038274937502329,2.0382645854183696,2.038263760433571,0.0002396406201627,0.0002516426737191,0.0622536578726266,0.0354960532297774,0.0051493914393874,1.7759320975622277,3,2,0.0354960532297774,1.7538191491216977,2,0.0354960532297774,1.7538191491216977,2,0.0354960532297774,1.7538191491216977,0.0654088480707486,0.03657032687399,0.0056306560181691,1.7610000671835253,3,2,0.03657032687399,1.7885770694948182,2,0.03657032687399,1.7885770694948182,2,0.03657032687399,1.7885770694948182,0.2465548675489538,1.3272366585565183,1.598326065533546,0.0037287700350394,0.0038664977119312,,,,,2.040844649065169,0.981438818143699,0.1813525387192952,0.0760013054398238,0.0968597538965163,0.1150098093151418,0.0760013054398238,0.1374520549920445,0.1592190261696575,0.0772754266868343,0.1199496474772979,0.1813525387192952,0.1337401911999049
confirm_K4_i000750,bank,independent_confirmatory64,4,750,5.0,2.0,0.1,2027228910,8,0.1915489963984947,0.0137064469575807,1.7029159172356343,1.7028962536578356,1.702896234639666,1.702896234620472,1.9682615162608386e-05,1.970167172049564e-05,0.2174848165213797,0.0583761941995435,0.0512127699312038,1.3489262590072977,3,1,0.2174848165213797,1.0,2,0.0583761941995435,3.725573746345392,2,0.0583761941995435,3.725573746345392,0.2175543137713775,0.0584265873243112,0.0512502121706202,1.349275070254618,3,1,0.2175543137713775,1.0,2,0.0584265873243112,3.723549906548342,2,0.0584265873243112,3.723549906548342,0.0998702204233661,1.1109509125121255,1.3220523757993283,0.0224798679854404,0.0225092564008657,,,,,1.7285790483394534,0.8312708069412978,0.2871333944036212,0.0137064469575807,0.2870815546728417,0.2638337141306362,0.1043197513214805,0.1859978406849735,0.088548887030079,0.0396659118939611,0.0137064469575807,0.0167940535776677,0.2871333944036212
