dataset_replicate,hmm_id,architecture,dimension,shape_rmse,shape_rmse_sd,excess_ce_H,excess_ce_H_sd,best_val_ce
0,confirm_K3_i000321,GRU,8,0.04047025535006393,0.007628559893880421,0.056853997858436166,0.04304950097435345,1.3590292831261952
0,confirm_K3_i000321,GRU,32,0.0374816323600198,0.012895508120184678,0.0232015755296462,0.045304711950357006,1.3661825731396675
0,confirm_K3_i000321,GRU,128,0.035259518820269405,0.021695288256454243,0.018420133145721,0.029846702695109445,1.3574675333996613
0,confirm_K3_i000321,GRU,256,0.0554711346031956,0.018315787201004928,-0.0004748223701405314,0.05825314497692732,1.3603396192193031
0,confirm_K3_i000321,Transformer,8,0.024556639131840266,0.015350222748129558,0.004044570676556533,0.023437090300298814,1.3481464063127835
0,confirm_K3_i000321,Transformer,32,0.020658070248864534,0.019830472325759053,0.009227100165755833,0.04200222692789733,1.3327863762776058
0,confirm_K3_i000321,Transformer,128,0.06401361626668253,0.02239606062838087,0.05404539471077043,0.014180666602438859,1.350643174101909
0,confirm_K3_i000321,Transformer,256,0.031646949738503065,0.0038297623039057153,0.024830875945162065,0.027208477901593822,1.3468749796350796
0,confirm_K3_i000341,GRU,8,0.0185699791475358,0.006753405748326693,0.010307208746863467,0.004382375860181744,1.9461040856937568
0,confirm_K3_i000341,GRU,32,0.021793218206618697,0.005818456770973031,0.023871917079084,0.02112363838761293,1.9606687873601916
0,confirm_K3_i000341,GRU,128,0.03192935265492027,0.013420979998611414,0.0115993405880463,0.03783646212076686,1.947102611263593
0,confirm_K3_i000341,GRU,256,0.03419524272305386,0.017382620731773678,0.022482267071995198,0.03902063337830277,1.9510501933594544
0,confirm_K3_i000341,Transformer,8,0.027952469178078667,0.013300628834067798,0.018688570509546067,0.019829294860019914,1.9646268784999847
0,confirm_K3_i000341,Transformer,32,0.016655790464401833,0.010866252227580017,0.017030828744364835,0.005641335516648711,1.976987313479185
0,confirm_K3_i000341,Transformer,128,0.0381876078773283,0.023558264890672736,0.0361478140455415,0.034599955794059174,1.961957623561223
0,confirm_K3_i000341,Transformer,256,0.026363500972179366,0.019431790066524613,0.025870962490829767,0.010348730618704208,1.9693828262388706
0,confirm_K3_i000975,GRU,8,0.03757105227474564,0.005664571609869361,0.10443707597309122,0.03833477266126017,1.022181926916043
0,confirm_K3_i000975,GRU,32,0.022307046116004967,0.006336679417371789,0.019228499800500964,0.017712049207281005,0.9752904282261928
0,confirm_K3_i000975,GRU,128,0.030362657607431332,0.005231894287939598,0.032537717789945735,0.02958645826063442,0.9376165407399336
0,confirm_K3_i000975,GRU,256,0.04523562997702063,0.017330106989143,0.05997153413349154,0.057268000217739715,0.9610632546246052
0,confirm_K3_i000975,Transformer,8,0.03655291276934207,0.018940400493026345,0.1084489826565362,0.05146051011863706,1.0404047245780628
0,confirm_K3_i000975,Transformer,32,0.04710349676240091,0.005340428860679996,0.053067762822447,0.03595379591181812,0.9526610324780146
0,confirm_K3_i000975,Transformer,128,0.04314973897440303,0.01126720051711301,0.04034676320407563,0.0480722470096488,0.992101160188516
0,confirm_K3_i000975,Transformer,256,0.04456908316075093,0.0181791768365319,0.07503837016278274,0.011775895234585831,0.9770857859402896
0,confirm_K3_i001202,GRU,8,0.018895349686739064,0.004605736829804675,-0.0056287606152304005,0.007875830986429843,2.008117765188217
0,confirm_K3_i001202,GRU,32,0.021909117919432165,0.012917534968756552,0.0182035456506008,0.022252284249555145,1.9851310191055136
0,confirm_K3_i001202,GRU,128,0.021361467330276968,0.011877047447542002,0.017348976473767666,0.03478014668757827,2.001719889541467
0,confirm_K3_i001202,GRU,256,0.016911785186957566,0.009820277783602612,0.022097800215839635,0.017605256024787127,2.008629113435745
0,confirm_K3_i001202,Transformer,8,0.029756070092276137,0.013750760944746815,0.023794779221971,0.018355889627790757,1.996604638795058
0,confirm_K3_i001202,Transformer,32,0.0256480520497243,0.006421952794195214,0.014268926323214269,0.02758144764728723,2.0034703152875104
0,confirm_K3_i001202,Transformer,128,0.02987368936412063,0.003402034687838566,0.020584485472002798,0.02360423328320071,2.0005983312924704
0,confirm_K3_i001202,Transformer,256,0.013889203459706468,0.007395218920757925,0.02821477903997806,0.013559982993911245,2.000652795036634
0,confirm_K4_i000373,GRU,8,0.016331257351974465,0.0020770832980219756,0.0172629492578189,0.007782363342717822,1.9727298480768998
0,confirm_K4_i000373,GRU,32,0.023647302177578,0.013496633365405412,0.0030555314915657003,0.013535543790217562,1.9840817873676622
0,confirm_K4_i000373,GRU,128,0.02546534231706557,0.017857198013144025,0.016218867112922534,0.0028192802478063214,1.9721020683646202
0,confirm_K4_i000373,GRU,256,0.0323438218009649,0.009851296236998004,-0.00022539376246120033,0.01040659672728732,1.982139168928067
0,confirm_K4_i000373,Transformer,8,0.022070961756190468,0.006655569193542518,0.031216446270275033,0.007445306496881411,1.974251142392556
