dataset_replicate,n_hmms,pc1_explained_variance,pc1_pc2_explained_variance
0,16,0.558200122061671,0.7491154735176823
1,16,0.5534117328106078,0.6902822423554869
2,16,0.5938224998047841,0.761931594166278
