model,standardized_rmse,pooled_r2,mean_spearman
K-only,1.0493131187972946,-0.11923025179099361,-0.48890224358974355
PLS-1 composite,0.7387844613265377,0.4512114547346612,0.7310038919413919
PLS-2 composite,0.7291966197212092,0.4657026610939785,0.7350789835164835
Full ridge,0.7197418234119689,0.4817646705462915,0.732709478021978
