outcome,run_level_column,n_hmms,n_conditions,n_seeds,process_ss,condition_ss,interaction_ss,residual_ss,process_ms,condition_ms,interaction_ms,residual_ms,process_variance_raw,condition_variance_raw,interaction_variance_raw,residual_variance,process_variance,interaction_variance,interaction_share
Shape RMSE,shape_rmse,64,8,5,660.5157848804116,3.9413579736607676e-28,337.3798806499232,1562.1043344696652,10.484377537784312,5.630511390943953e-29,0.7650337429703474,0.7627462570652662,0.2429835948703491,-0.0023907304467823357,0.00045749718101624205,0.7627462570652662,0.2429835948703491,0.00045749718101624205,0.0018792931676453026
Terminal excess CE,excess_ce_H,64,8,5,522.2581094461711,6.664349312601595e-29,426.6893172440882,1611.0525733097409,8.289811261050335,9.520499018002278e-30,0.9675494722088168,0.7866467643113969,0.18305654472103797,-0.0030235921006525526,0.036180541579483985,0.7866467643113969,0.18305654472103797,0.036180541579483985,0.16502929403964553
