hmm_id,dataset_replicate,source,dataset_file,sha256,train_seed,val_seed,test_seed
confirm_K5_i000312,1,new_independent_generation,regenerated://replicate_1/confirm_K5_i000312.npz,4249aed277495f7e994f09849878ff066940928b47f08fd0c89e154c7c1eb5f1,3474548379.0,2285562779.0,3312356236.0
confirm_K5_i000312,2,new_independent_generation,regenerated://replicate_2/confirm_K5_i000312.npz,1d8fce714410bbf89bd93a93f83e77e58383e1a53f50a9b1d640562ec3f2f9aa,2901911880.0,2131738464.0,2490974560.0
confirm_K5_i000834,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K5_i000834,1,new_independent_generation,regenerated://replicate_1/confirm_K5_i000834.npz,8c11cf7c23dd4227c6b3e31ba70ab08fc70702a982a82f6e87d51917e8213904,2608162229.0,2089628910.0,2293531711.0
confirm_K5_i000834,2,new_independent_generation,regenerated://replicate_2/confirm_K5_i000834.npz,c4e8fabcf52edfc9e1f57bfb44d8cd59c780144728df97aba9efd5b022532372,2880433811.0,2092176829.0,3498332987.0
confirm_K6_i000105,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K6_i000105,1,new_independent_generation,regenerated://replicate_1/confirm_K6_i000105.npz,571d4f668a97b9f6b43b3b8338d2fe33d77e4921109c211ad36e3b05029efd97,3222959706.0,3166423304.0,2237703516.0
confirm_K6_i000105,2,new_independent_generation,regenerated://replicate_2/confirm_K6_i000105.npz,1ba368b3a73c8601ab4c986907ff66666040d661c11f5181e366c42412b06686,2437727464.0,3719160190.0,3105100058.0
confirm_K6_i001189,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K6_i001189,1,new_independent_generation,regenerated://replicate_1/confirm_K6_i001189.npz,de5f687f35500c9aa416213d432601ccad2cfde9465ebf81cbf1d0e4c69bf02a,3191940391.0,3373096142.0,2123279355.0
confirm_K6_i001189,2,new_independent_generation,regenerated://replicate_2/confirm_K6_i001189.npz,7d584f14e8caae9ac9bd61618ce7911a0b84484a15e323499db43d8e34cec051,3745954902.0,3044358425.0,2875532007.0
confirm_K6_i000997,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K6_i000997,1,new_independent_generation,regenerated://replicate_1/confirm_K6_i000997.npz,1f09c2b57f81fb65e49adcc2d5370b85ab068b3c9e422eecd79a90fa588c7a02,3370745782.0,3556837142.0,2530540181.0
confirm_K6_i000997,2,new_independent_generation,regenerated://replicate_2/confirm_K6_i000997.npz,ec5e4529a293b42a960ce91cfdd2d76d3dea10e90fa2f6286544a6cb56ee7d29,2767251941.0,2445965398.0,3760947397.0
confirm_K6_i000708,0,existing_run_summaries_only_cache_unavailable,not-archived://reference-replicate-0,,,,
confirm_K6_i000708,1,new_independent_generation,regenerated://replicate_1/confirm_K6_i000708.npz,ac6f08818e7d535c31a2d94993f86a8e802139a2ce655ce54b6f9e737b4a02b9,2846025551.0,2707895963.0,2080923140.0
confirm_K6_i000708,2,new_independent_generation,regenerated://replicate_2/confirm_K6_i000708.npz,1a738ead073d3054a0eee10668a8de38420929d4a90b1234fa16a198c15830d4,3232438844.0,3028983967.0,2387565078.0
