dataset_replicate,condition,pc1_loading
0,GRU_d128,0.4087332923426816
0,GRU_d256,0.3726370902259766
0,GRU_d32,0.2993857800819621
0,GRU_d8,0.3620957491832736
0,Transformer_d128,0.3177956588726032
0,Transformer_d256,0.3921004953029091
0,Transformer_d32,0.3456659286424207
0,Transformer_d8,0.314820114331125
1,GRU_d128,0.4160044745035611
1,GRU_d256,0.3142272241297285
1,GRU_d32,0.3868438281174451
1,GRU_d8,0.332883121021325
1,Transformer_d128,0.3838938709759298
1,Transformer_d256,0.3819831194091014
1,Transformer_d32,0.3195719887080992
1,Transformer_d8,0.2689430154178434
2,GRU_d128,0.3628943858072553
2,GRU_d256,0.3757078159688733
2,GRU_d32,0.3639538764779287
2,GRU_d8,0.3765872143051941
2,Transformer_d128,0.3915875824727083
2,Transformer_d256,0.3022091163311418
2,Transformer_d32,0.3120627571311415
2,Transformer_d8,0.3328912712271926
