contrast,source,n_train,method,alpha,beta,outcome,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,count_predictor,64,additive,0.1,,excess_ce_H,12,-0.0007862893913374,0.0035029981509509,-0.0163377377512798,0.0136978059711392,0.9127087291270872,0.5
gain_contrast,count_predictor,64,additive,0.1,,shape_rmse,12,-0.0005589872812326,-0.0013859256017141,-0.0110285298986704,0.0092832354392977,0.9121087891210878,0.5
gain_contrast,count_predictor,64,additive,0.5,,excess_ce_H,12,-0.0009721365369294,-5.877814736141018e-06,-0.0058870504836362,0.003752125688849,0.7156284371562843,0.5
gain_contrast,count_predictor,64,additive,0.5,,shape_rmse,12,-0.000510050570972,-0.0021959364827719,-0.0033769258377973,0.0025717662065546,0.7502249775022498,0.4166666666666667
gain_contrast,count_predictor,64,additive,1.0,,excess_ce_H,12,-0.000853158970143,-0.0023417382333149,-0.0043195180169038,0.0032914921776501,0.6988301169883012,0.3333333333333333
gain_contrast,count_predictor,64,additive,1.0,,shape_rmse,12,-0.0004059357280387,0.0008192871896144,-0.0037834781269884,0.0026925596147026,0.819018098190181,0.5833333333333334
gain_contrast,count_predictor,64,interpolated_backoff,0.1,1.0,excess_ce_H,12,-0.0013918298134193,0.0012581368639906,-0.011507413255551,0.0085662900187118,0.8012198780121987,0.5833333333333334
gain_contrast,count_predictor,64,interpolated_backoff,0.1,1.0,shape_rmse,12,-0.0009411707590733,-0.0027560823636726,-0.0071071746845354,0.0053014235133097,0.7716228377162284,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,0.1,5.0,excess_ce_H,12,-0.0013022207907542,-0.0007943779610725,-0.00812207082801,0.004969230635662,0.7181281871812819,0.5
gain_contrast,count_predictor,64,interpolated_backoff,0.1,5.0,shape_rmse,12,-0.000827551196678,-0.0017420117761273,-0.0040326826072788,0.0023322702060965,0.646935306469353,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,0.1,20.0,excess_ce_H,12,-0.0008124466161705,0.0008037129678031,-0.0057256874132456,0.0036962456250993,0.7515248475152485,0.5833333333333334
gain_contrast,count_predictor,64,interpolated_backoff,0.1,20.0,shape_rmse,12,-0.0004857225109901,-0.0005673350287391,-0.0024059619858938,0.001144521998592,0.6774322567743226,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,0.5,1.0,excess_ce_H,12,-0.0013850844795964,-0.0022580822288631,-0.0061172227870761,0.0039000665651986,0.6183381661833817,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,0.5,1.0,shape_rmse,12,-0.0008199233405421,-0.0023510632645951,-0.0040434283163934,0.002596986079266,0.6548345165483451,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,0.5,5.0,excess_ce_H,12,-0.0014692481706102,-0.0015182375805092,-0.0058038276147134,0.003656158992514,0.5841415858414158,0.25
gain_contrast,count_predictor,64,interpolated_backoff,0.5,5.0,shape_rmse,12,-0.0008996767389087,-0.0010370532976929,-0.0034408285811993,0.0021129865628647,0.5703429657034297,0.3333333333333333
gain_contrast,count_predictor,64,interpolated_backoff,0.5,20.0,excess_ce_H,12,-0.0011904134669796,-0.0026363816601521,-0.0051336755529448,0.0031757421830839,0.6055394460553944,0.3333333333333333
gain_contrast,count_predictor,64,interpolated_backoff,0.5,20.0,shape_rmse,12,-0.0007657595608207,-0.0012530739906586,-0.0023198781706964,0.0010955111827488,0.4221577842215778,0.4166666666666667
gain_contrast,count_predictor,64,interpolated_backoff,1.0,1.0,excess_ce_H,12,-0.0012854015103271,-0.0028080936651559,-0.0054664945391568,0.004207299130611,0.678032196780322,0.3333333333333333
gain_contrast,count_predictor,64,interpolated_backoff,1.0,1.0,shape_rmse,12,-0.0007441841388305,-0.0003601105433569,-0.0046090060933648,0.0034278578172663,0.7311268873112688,0.5
gain_contrast,count_predictor,64,interpolated_backoff,1.0,5.0,excess_ce_H,12,-0.001444191183069,-0.0023092083642452,-0.0055814831370316,0.0043452139972725,0.6681331866813318,0.1666666666666666
gain_contrast,count_predictor,64,interpolated_backoff,1.0,5.0,shape_rmse,12,-0.0008825005261267,-0.0014203985944766,-0.004349789148455,0.0030266630750808,0.6666333366663334,0.3333333333333333
gain_contrast,count_predictor,64,interpolated_backoff,1.0,20.0,excess_ce_H,12,-0.0012928483732467,-0.00283649102018,-0.0050909666875813,0.0036749598358515,0.6502349765023497,0.25
gain_contrast,count_predictor,64,interpolated_backoff,1.0,20.0,shape_rmse,12,-0.0008338116769528,-0.0012969287913595,-0.0030477292052539,0.0019695169381972,0.5712428757124287,0.25
gain_contrast,count_predictor,128,additive,0.1,,excess_ce_H,12,-0.0007926676772348,0.0032361792814556,-0.014281881662542,0.0116552939967516,0.9116088391160884,0.5
gain_contrast,count_predictor,128,additive,0.1,,shape_rmse,12,-0.0007529015266925,0.0018183802705767,-0.0100100955502819,0.0076526530837986,0.8745125487451255,0.5
gain_contrast,count_predictor,128,additive,0.5,,excess_ce_H,12,-0.0010513883035503,0.0032754143533997,-0.0062889908989425,0.0036038745882126,0.6908309169083092,0.5833333333333334
gain_contrast,count_predictor,128,additive,0.5,,shape_rmse,12,-0.0009217207303155,-0.0007452771354153,-0.0032553754648291,0.0013275652378795,0.46005399460054,0.4166666666666667
gain_contrast,count_predictor,128,additive,1.0,,excess_ce_H,12,-0.0007282817861785,-0.0002969476168837,-0.0040562827500389,0.0026292835281519,0.6816318368163183,0.5
gain_contrast,count_predictor,128,additive,1.0,,shape_rmse,12,-0.0006358641559214,-0.0011872956954529,-0.002519131405372,0.0012225462564047,0.5327467253274673,0.4166666666666667
gain_contrast,count_predictor,128,interpolated_backoff,0.1,1.0,excess_ce_H,12,-0.001728558308408,0.0017410173262803,-0.0108080310188501,0.0066815027617516,0.7250274972502749,0.5833333333333334
gain_contrast,count_predictor,128,interpolated_backoff,0.1,1.0,shape_rmse,12,-0.0015192605114731,-0.0011478208690876,-0.0070600894869511,0.0034688964062042,0.6112388761123888,0.4166666666666667
gain_contrast,count_predictor,128,interpolated_backoff,0.1,5.0,excess_ce_H,12,-0.0012905061037537,0.0021937799745089,-0.0067796860168786,0.0038958139226524,0.6677332266773323,0.5833333333333334
gain_contrast,count_predictor,128,interpolated_backoff,0.1,5.0,shape_rmse,12,-0.0011158561749683,-0.0004771954126722,-0.0035742516618523,0.0012143578471069,0.4098590140985901,0.3333333333333333
gain_contrast,count_predictor,128,interpolated_backoff,0.1,20.0,excess_ce_H,12,-0.0005538097763656,0.0014333467578695,-0.0045700932909644,0.003252679054487,0.7976202379762024,0.5833333333333334
gain_contrast,count_predictor,128,interpolated_backoff,0.1,20.0,shape_rmse,12,-0.0004818196709628,0.0002363057461758,-0.001796679061563,0.0006620413395248,0.4913508649135086,0.6666666666666666
gain_contrast,count_predictor,128,interpolated_backoff,0.5,1.0,excess_ce_H,12,-0.0015472606894075,-0.0005803962246701,-0.0060048838423074,0.0027100456622856,0.5037496250374962,0.5
gain_contrast,count_predictor,128,interpolated_backoff,0.5,1.0,shape_rmse,12,-0.0013141031185307,-0.0020435791827299,-0.0030230027408068,0.0005304045754927,0.1940805919408059,0.3333333333333333
gain_contrast,count_predictor,128,interpolated_backoff,0.5,5.0,excess_ce_H,12,-0.0013769069966514,-0.0015342899694822,-0.004965134057583,0.0025389061389342,0.4954504549545045,0.4166666666666667
gain_contrast,count_predictor,128,interpolated_backoff,0.5,5.0,shape_rmse,12,-0.0011499473627363,-0.0017528032468967,-0.002540113606316,0.0004864404414793,0.1778822117788221,0.25
