hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K,generator_family,selection_cluster
external_ring_sparse_specialized_K6_i0232,GRU,0.0272187607441169,0.0190329961419286,8,0.0,,,0.0256114501138118,1.4043686073131407,6,ring_sparse_specialized,2
external_ring_sparse_specialized_K6_i0232,Transformer,0.0233627135657796,0.0208358214223907,128,0.0042321177384994,128.0,128.0,0.0443274757974267,-1.4450467406898293,6,ring_sparse_specialized,2
external_sticky_dense_logistic_normal_K3_i0051,GRU,0.0231160286489162,0.0214030014326184,8,0.0,,,0.009156221530807,1.7049513352343546,3,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K3_i0051,Transformer,0.0226266038819006,0.0154018694671129,32,0.0135601856426017,32.0,32.0,0.0330026938338796,-3.031557049705871,3,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K3_i0059,GRU,0.0229104933131735,0.0167679790489225,8,0.0,,,0.0171395636937137,-1.3278576506264113,3,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K3_i0059,Transformer,0.0305794369474298,0.0247854665689495,8,0.0,,,0.0140803793080431,4.99585459068807,3,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K3_i0178,GRU,0.0266838173525516,0.0222570320648293,32,0.0054117979181193,32.0,32.0,0.02535814179475,0.5834582624449444,3,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K3_i0178,Transformer,0.0264582014151258,0.0176730367676321,32,0.0042575752579391,32.0,32.0,0.0273459335184252,1.150937669099236,3,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K3_i0217,GRU,0.0247130283744174,0.0200430751095828,32,0.0126357705234908,32.0,32.0,0.027964954610678,0.8120437344941625,3,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K3_i0217,Transformer,0.0552273528729919,0.0464309534632462,128,0.0028278253456183,128.0,128.0,0.0425595641493921,1.1634476537960603,3,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K4_i0038,GRU,0.0291785241190396,0.0219519643361367,32,0.0159338615897469,32.0,32.0,0.0143586381734348,0.5879281789085334,4,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K4_i0038,Transformer,0.0375227357896861,0.0341705845121845,32,0.009321428203595,32.0,32.0,0.0268121867836453,-8.693036967151722,4,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K4_i0108,GRU,0.0182086236281505,0.0121915794834337,128,0.0017864339448136,128.0,128.0,0.0263521605368673,1.1751879031715042,4,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K4_i0108,Transformer,0.032412461128066,0.0270207871882944,32,0.0064164825981109,32.0,32.0,0.033077918851,-0.1849485785851522,4,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K4_i0131,GRU,0.0310075290769564,0.0210326352390175,8,0.0,,,0.0103252585153054,1.2626837369033608,4,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K4_i0131,Transformer,0.038766475044431,0.0348131151978199,32,0.0024780935858257,32.0,32.0,0.0489534699672067,-0.253282192169578,4,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K4_i0211,GRU,0.049216563186084,0.0453626591446183,128,0.0085982700545898,128.0,128.0,0.0068414953056437,1.5246900706339996,4,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K4_i0211,Transformer,0.0283857270986058,0.0211324396596065,128,0.0184480349835324,128.0,128.0,0.0188965694808425,0.6946565705577624,4,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K5_i0048,GRU,0.041234103234981,0.026687912408789,8,0.0,,,0.0252914956076643,0.9394422432419168,5,sticky_dense_logistic_normal,0
