dataset_replicate,n_hmms,pc1_explained_variance,pc1_pc2_explained_variance
0,16,0.5582001220616709,0.7491154735176823
1,16,0.553411732810608,0.6902822423554869
2,16,0.5938224998047842,0.7619315941662779
