pair_type,architecture,n_pairs,mean_effect,ci_low,ci_high
cross_K_matched,GRU,6,0.0109081665763006,0.0078664260267409,0.0140516125880245
cross_K_matched,Transformer,6,0.0115352698325621,0.0066062204177975,0.0171021512639952
rank_contrast,GRU,8,0.0079840687117844,0.0027551446735139,0.0140479959381045
rank_contrast,Transformer,8,0.0111519761035603,0.0054176838567195,0.0170930086611286
sigma_contrast,GRU,4,-0.0177932073159459,-0.0248453681656809,-0.0100149829500664
sigma_contrast,Transformer,4,-0.0178123626177296,-0.0255866581326938,-0.0102308700079558
