hmm_id,K,pair_id,contrast,pair_role,n_train,h,method,alpha,beta,test_windows,observed_train_contexts,possible_contexts,unseen_test_context_rate,mean_train_count_for_test_context,median_train_count_for_test_context,mean_positive_train_count_for_test_context,empirical_effective_context_count,mean_backoff_weight
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,4,additive,0.5,,18944,3043,4096,0.0062288851351351,295.9145903716216,109.0,297.7693615213003,737.0922758429476,0.0
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,1,interpolated_backoff,0.5,1.0,19136,8,8,0.0,17935.617318143813,21020.0,17935.617318143813,5.3181111687832505,0.0001047152526536
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,2,interpolated_backoff,0.5,1.0,19072,64,64,0.0,4480.54918204698,3471.0,4480.54918204698,27.782550130682164,0.0008500702418203
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,3,interpolated_backoff,0.5,1.0,19008,500,512,0.0002630471380471,1145.567760942761,542.0,1145.8691785507551,144.55875516043375,0.0066670007131098
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,4,interpolated_backoff,0.5,1.0,18944,3043,4096,0.0062288851351351,295.9145903716216,109.0,297.7693615213003,737.0922758429476,0.0398248703356805
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,1,interpolated_backoff,0.5,5.0,19136,8,8,0.0,17935.617318143813,21020.0,17935.617318143813,5.3181111687832505,0.0005230470269326
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,2,interpolated_backoff,0.5,5.0,19072,64,64,0.0,4480.54918204698,3471.0,4480.54918204698,27.782550130682164,0.0041616814799556
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,3,interpolated_backoff,0.5,5.0,19008,500,512,0.0002630471380471,1145.567760942761,542.0,1145.8691785507551,144.55875516043375,0.0272821919020334
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,4,interpolated_backoff,0.5,5.0,18944,3043,4096,0.0062288851351351,295.9145903716216,109.0,297.7693615213003,737.0922758429476,0.1161904495484319
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,1,interpolated_backoff,0.5,20.0,19136,8,8,0.0,17935.617318143813,21020.0,17935.617318143813,5.3181111687832505,0.0020843089780366
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,2,interpolated_backoff,0.5,20.0,19072,64,64,0.0,4480.54918204698,3471.0,4480.54918204698,27.782550130682164,0.0156004388819511
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,3,interpolated_backoff,0.5,20.0,19008,500,512,0.0002630471380471,1145.567760942761,542.0,1145.8691785507551,144.55875516043375,0.0809358776641967
confirm_K3_i000079,3,occupancy_K3_p01,occupancy_contrast,low,256,4,interpolated_backoff,0.5,20.0,18944,3043,4096,0.0062288851351351,295.9145903716216,109.0,297.7693615213003,737.0922758429476,0.2524854333626398
