generator_family,K_a,K_b,architecture,outcome,hmm_a,hmm_b,matched_absolute_difference,profile_rms_distance
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0106036903428854,0.2036586101541476
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0149662370923589,0.1128344919694254
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.0068706370584688,0.4189835733439193
sticky_dense_logistic_normal,4,5,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0125121557320436,0.4193070542161203
sticky_dense_logistic_normal,4,5,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0032978915798841,0.2036586101541476
sticky_dense_logistic_normal,4,5,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0056552771697715,0.1128344919694254
sticky_dense_logistic_normal,4,5,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.0105296285465466,0.4189835733439193
sticky_dense_logistic_normal,4,5,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0001885766908287,0.4193070542161203
sticky_dense_logistic_normal,4,5,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0100965146876815,0.2036586101541476
sticky_dense_logistic_normal,4,5,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0111291011014169,0.1128344919694254
sticky_dense_logistic_normal,4,5,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.0131302236307326,0.4189835733439193
sticky_dense_logistic_normal,4,5,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0153153627647283,0.4193070542161203
sticky_dense_logistic_normal,4,5,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.0020312410561067,0.2036586101541476
sticky_dense_logistic_normal,4,5,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0090511970609329,0.1128344919694254
sticky_dense_logistic_normal,4,5,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.000952142259228,0.4189835733439193
sticky_dense_logistic_normal,4,5,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0371646376389875,0.4193070542161203
sticky_dense_logistic_normal,4,5,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0108,external_sticky_dense_logistic_normal_K5_i0236,0.009869485192474,0.2036586101541476
sticky_dense_logistic_normal,4,5,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0131,external_sticky_dense_logistic_normal_K5_i0048,0.0132893500767578,0.1128344919694254
sticky_dense_logistic_normal,4,5,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0038,external_sticky_dense_logistic_normal_K5_i0094,0.0176724845749256,0.4189835733439193
sticky_dense_logistic_normal,4,5,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K4_i0211,external_sticky_dense_logistic_normal_K5_i0152,0.0160130311636122,0.4193070542161203
sticky_dense_logistic_normal,5,6,GRU,A_width_shape,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0083455177501061,0.0767749078747663
sticky_dense_logistic_normal,5,6,GRU,A_width_shape,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0020439298404137,0.2340247997791676
sticky_dense_logistic_normal,5,6,GRU,A_width_shape,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0015732510335597,0.532354021277867
sticky_dense_logistic_normal,5,6,GRU,A_width_shape,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0213756978468709,0.3297106211418052
sticky_dense_logistic_normal,5,6,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0002152304585346,0.0767749078747663
sticky_dense_logistic_normal,5,6,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0024234950886171,0.2340247997791676
sticky_dense_logistic_normal,5,6,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0031952806595222,0.532354021277867
sticky_dense_logistic_normal,5,6,GRU,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0247678021909857,0.3297106211418052
sticky_dense_logistic_normal,5,6,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0016032590258909,0.0767749078747663
sticky_dense_logistic_normal,5,6,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0014955014413753,0.2340247997791676
sticky_dense_logistic_normal,5,6,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0017722424471623,0.532354021277867
sticky_dense_logistic_normal,5,6,GRU,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0255696197165819,0.3297106211418052
sticky_dense_logistic_normal,5,6,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0057156045626095,0.0767749078747663
sticky_dense_logistic_normal,5,6,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0042262189767271,0.2340247997791676
sticky_dense_logistic_normal,5,6,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0231054092886216,0.532354021277867
sticky_dense_logistic_normal,5,6,Transformer,A_width_shape,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0004622508673378,0.3297106211418052
sticky_dense_logistic_normal,5,6,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.001479298962265,0.0767749078747663
sticky_dense_logistic_normal,5,6,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0094655951207877,0.2340247997791676
sticky_dense_logistic_normal,5,6,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0098909858150538,0.532354021277867
sticky_dense_logistic_normal,5,6,Transformer,mean_excess_ce_H,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0083829298935397,0.3297106211418052
sticky_dense_logistic_normal,5,6,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0048,external_sticky_dense_logistic_normal_K6_i0086,0.0050165323752664,0.0767749078747663
sticky_dense_logistic_normal,5,6,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0094,external_sticky_dense_logistic_normal_K6_i0159,0.0013648190577496,0.2340247997791676
sticky_dense_logistic_normal,5,6,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0236,external_sticky_dense_logistic_normal_K6_i0146,0.0207101075947584,0.532354021277867
sticky_dense_logistic_normal,5,6,Transformer,best_shape_rmse,external_sticky_dense_logistic_normal_K5_i0152,external_sticky_dense_logistic_normal_K6_i0090,0.0008339990090488,0.3297106211418052
ring_sparse_specialized,3,4,GRU,A_width_shape,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.0184587618257451,0.5582610819931078
ring_sparse_specialized,3,4,GRU,A_width_shape,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0027040283320809,0.485653624837858
ring_sparse_specialized,3,4,GRU,A_width_shape,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0053061742390096,0.1435710783908296
ring_sparse_specialized,3,4,GRU,A_width_shape,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0081216707870507,0.752229211131152
ring_sparse_specialized,3,4,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.011170844693793,0.5582610819931078
ring_sparse_specialized,3,4,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0045691128230816,0.485653624837858
ring_sparse_specialized,3,4,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0067927602941516,0.1435710783908296
ring_sparse_specialized,3,4,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0282912091714551,0.752229211131152
ring_sparse_specialized,3,4,GRU,best_shape_rmse,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.0105412363311985,0.5582610819931078
ring_sparse_specialized,3,4,GRU,best_shape_rmse,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0086309246715305,0.485653624837858
ring_sparse_specialized,3,4,GRU,best_shape_rmse,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0102381268998405,0.1435710783908296
ring_sparse_specialized,3,4,GRU,best_shape_rmse,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0120889110665775,0.752229211131152
ring_sparse_specialized,3,4,Transformer,A_width_shape,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.0104326732694757,0.5582610819931078
ring_sparse_specialized,3,4,Transformer,A_width_shape,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0028678568458629,0.485653624837858
ring_sparse_specialized,3,4,Transformer,A_width_shape,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0088334267466484,0.1435710783908296
ring_sparse_specialized,3,4,Transformer,A_width_shape,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0023812414582067,0.752229211131152
ring_sparse_specialized,3,4,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.0531671523648631,0.5582610819931078
ring_sparse_specialized,3,4,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0184060562640487,0.485653624837858
ring_sparse_specialized,3,4,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0180312381173448,0.1435710783908296
ring_sparse_specialized,3,4,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0443632332453207,0.752229211131152
ring_sparse_specialized,3,4,Transformer,best_shape_rmse,external_ring_sparse_specialized_K3_i0051,external_ring_sparse_specialized_K4_i0003,0.0146488441657147,0.5582610819931078
ring_sparse_specialized,3,4,Transformer,best_shape_rmse,external_ring_sparse_specialized_K3_i0049,external_ring_sparse_specialized_K4_i0248,0.0047978398157566,0.485653624837858
ring_sparse_specialized,3,4,Transformer,best_shape_rmse,external_ring_sparse_specialized_K3_i0190,external_ring_sparse_specialized_K4_i0053,0.0101094522630087,0.1435710783908296
