hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K
confirm_K5_i000634,Transformer,0.033886419733812,0.0259837521892766,256,0.0058764698812536,256.0,256.0,0.0213732663534487,1.0644865882233043,5
confirm_K5_i000723,GRU,0.033101695864803,0.0269016206355846,32,0.0009026151343711,32.0,32.0,0.0212174381234013,-8.972212551812666,5
confirm_K5_i000723,Transformer,0.0350410682739735,0.0232747910845385,32,0.0205761680866423,32.0,32.0,0.0156802530505025,9.355258838387094,5
confirm_K5_i000744,GRU,0.0418751556343111,0.0327498228190377,8,0.0,,,0.0338762332357444,1.1840535586181422,5
confirm_K5_i000744,Transformer,0.0497973443130532,0.0394803840173194,8,0.0,,,0.0405352790512123,0.4124692453082716,5
confirm_K5_i000807,GRU,0.0368866938847902,0.0281553056933962,128,0.0194805656254889,128.0,128.0,0.0173479453062143,3.6014133825284618,5
confirm_K5_i000807,Transformer,0.0400020860465765,0.0360319516069072,32,0.0007954606060594,32.0,32.0,0.0079058137123908,4.770661838626685,5
confirm_K5_i000834,GRU,0.0454244064385952,0.0343148367041021,128,0.0008237638223448,128.0,128.0,0.0510189164940557,-2.548274759390785,5
confirm_K5_i000834,Transformer,0.0360785866962694,0.0281357992913317,128,0.0066719259408592,128.0,128.0,0.0253645469013891,4.562607364690305,5
confirm_K5_i000841,GRU,0.0385227745601724,0.0323895298073655,128,0.0007567071475391,128.0,128.0,0.0549479138721704,0.8463244805297374,5
confirm_K5_i000841,Transformer,0.049255507281379,0.0428774215762806,8,0.0,,,0.0995651130248785,0.2522805877574001,5
confirm_K5_i000848,GRU,0.0194233614807613,0.0133869237116072,32,0.0071566494031996,32.0,32.0,0.0115738291250902,74.20750394606449,5
confirm_K5_i000848,Transformer,0.0233076122958292,0.0188527205868161,32,0.0040530208845448,32.0,32.0,0.0184589054393011,-88.47735740412257,5
confirm_K5_i000922,GRU,0.0302213988729519,0.0203199152478626,8,0.0,,,0.0487721475032768,0.1795283988916002,5
confirm_K5_i000922,Transformer,0.0299920971590183,0.0256778362294771,32,0.0116480693103056,32.0,32.0,0.0527363242773018,0.3026818122843633,5
