architecture,outcome,K_a,K_b,hmm_a,hmm_b,profile_rms_distance,outcome_absolute_difference
GRU,mean_excess_ce_H,4,5,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,0.016584334073092
GRU,mean_excess_ce_H,4,5,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,0.0176994036833164
GRU,mean_excess_ce_H,4,5,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,0.0164771706178851
GRU,mean_excess_ce_H,4,5,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,6.339085295348212e-06
GRU,mean_excess_ce_H,5,6,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,0.0016212150477627
GRU,mean_excess_ce_H,5,6,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,0.0057587648005999
GRU,mean_excess_ce_H,5,6,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,0.010658485234122
GRU,mean_excess_ce_H,5,6,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,0.0181552095510507
GRU,mean_excess_ce_H,5,6,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,0.00964237104102
GRU,mean_excess_ce_H,5,6,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,0.012047725704589
GRU,mean_excess_ce_H,5,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,0.0096248465732454
GRU,mean_excess_ce_H,5,6,confirm_K5_i000202,confirm_K6_i000446,0.2836540481455343,0.0013755345742174
GRU,mean_excess_ce_H,5,6,confirm_K5_i000634,confirm_K6_i000109,0.2979649513393684,0.0023713368969886
GRU,mean_excess_ce_H,5,6,confirm_K5_i000626,confirm_K6_i000737,0.3634716774007963,0.0003409656012915
GRU,mean_excess_ce_H,5,6,confirm_K5_i000723,confirm_K6_i000453,0.3769000147262234,0.0020746331009676
GRU,mean_excess_ce_H,5,6,confirm_K5_i000312,confirm_K6_i000420,0.4299706504059728,0.0009471743915394
GRU,best_shape_rmse,3,4,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,0.011654563019365
GRU,best_shape_rmse,3,4,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,0.0003480922622821
GRU,best_shape_rmse,3,4,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,0.0036337100602513
GRU,best_shape_rmse,3,4,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,0.0037644737727327
GRU,best_shape_rmse,3,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,0.0079254764649533
GRU,best_shape_rmse,3,4,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,0.0041482252331052
GRU,best_shape_rmse,3,4,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,0.0041552777492318
GRU,best_shape_rmse,3,4,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,0.0002552117950617
GRU,best_shape_rmse,3,4,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,0.0046586468935996
GRU,best_shape_rmse,3,4,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,0.0109326085009364
GRU,best_shape_rmse,3,4,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,0.0105908913652296
GRU,best_shape_rmse,3,4,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,0.0132102437387462
GRU,best_shape_rmse,4,5,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,0.0014865159756656
GRU,best_shape_rmse,4,5,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,0.0007455405660698
GRU,best_shape_rmse,4,5,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,0.0009110517271111
GRU,best_shape_rmse,4,5,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,0.020721849470802
GRU,best_shape_rmse,4,5,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,0.005760046578083
GRU,best_shape_rmse,4,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,0.0063993774330781
GRU,best_shape_rmse,4,5,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,0.0033975034962603
GRU,best_shape_rmse,4,5,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,0.0093648143391897
GRU,best_shape_rmse,4,5,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,0.0025058197046529
GRU,best_shape_rmse,4,5,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,0.0039219009664043
GRU,best_shape_rmse,4,5,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,0.0042396425325307
GRU,best_shape_rmse,4,5,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,0.0056118160797801
GRU,best_shape_rmse,5,6,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,0.0020310669202578
GRU,best_shape_rmse,5,6,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,0.0044438481760206
GRU,best_shape_rmse,5,6,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,0.0122857860361052
GRU,best_shape_rmse,5,6,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,0.0023286287964302
GRU,best_shape_rmse,5,6,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,0.0115892374208036
GRU,best_shape_rmse,5,6,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,0.001274016123133
GRU,best_shape_rmse,5,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,0.0002550718643324
GRU,best_shape_rmse,5,6,confirm_K5_i000202,confirm_K6_i000446,0.2836540481455343,0.0103187939841684
GRU,best_shape_rmse,5,6,confirm_K5_i000634,confirm_K6_i000109,0.2979649513393684,0.0001663284794606
GRU,best_shape_rmse,5,6,confirm_K5_i000626,confirm_K6_i000737,0.3634716774007963,0.0044538700954755
GRU,best_shape_rmse,5,6,confirm_K5_i000723,confirm_K6_i000453,0.3769000147262234,0.0004092728388426
GRU,best_shape_rmse,5,6,confirm_K5_i000312,confirm_K6_i000420,0.4299706504059728,0.0029733645472632
Transformer,A_width_shape,3,4,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,0.0020514850963468
Transformer,A_width_shape,3,4,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,0.0033591887038565
Transformer,A_width_shape,3,4,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,0.0017683202152812
Transformer,A_width_shape,3,4,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,0.0016810865958573
