outcome,P,R,C,S,MS_process,MS_condition,MS_dataset_within_process,MS_process_by_condition,MS_dataset_by_condition,MS_seed_residual,process_variance,dataset_within_process_variance,process_by_condition_variance,dataset_by_condition_variance,seed_residual_variance,stable_process_share_vs_dataset,dataset_latent_share,process_latent_share
shape_rmse,16,3,8,3,19.319726539755447,5.1812070481186714e-30,0.7277121627060206,0.7994903536197326,0.829319430631733,0.7411500951894473,0.2586367146397421,0.0,0.0,0.0293897784807618,0.7411500951894473,1.0,0.1020384554293963,0.8979615445706035
excess_ce_H,16,3,8,3,13.736840721710516,8.431782437160475e-31,1.259131341847486,1.3390922943392578,0.7252862451710332,0.7846176776188662,0.1647764351485389,0.0222435456948521,0.0682006721298027,0.0,0.7846176776188662,0.8810632661037499,0.0871541759482468,0.9128458240517532
