hmm_id,K,alpha,shape_rmse,excess_ce_H,recovery_ratio,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4
confirm_K3_i000056,3,0.5,0.0693375613703402,0.1002935965094549,-28.599039605237618,1.9827652309016617,2.022179253922651,2.0049255335213183,2.079919526102048
confirm_K3_i001131,3,0.5,0.0477015070197641,0.0587106742683518,-55.689842504519824,0.8308487174054464,0.8495965978481689,0.8242362590155223,0.8885172920638935
confirm_K3_i001202,3,0.5,0.096617645564404,0.1250872892352419,-169.77760952883185,1.9940110575081555,1.986222594757054,2.0201681689935627,2.110467135092108
confirm_K3_i001105,3,0.5,0.0394104482283363,0.0229234394654327,-11.818012709308332,1.7094684342342552,1.742216765102529,1.6854397432504835,1.750151773390906
confirm_K3_i000321,3,0.5,0.0256329241334719,-0.0143234343847056,-63.56722667384225,1.2878085068516965,1.3175742953052614,1.351026031212673,1.332504417196797
confirm_K3_i000682,3,0.5,0.0904980125687135,0.0774311648066905,-0.0411497549743211,1.5086593910229975,1.436902080015389,1.4400396538662092,1.5129755993099367
confirm_K3_i000517,3,0.5,0.0573801509031944,0.0809424812555994,-1.6093436271936874,1.7812368147545616,1.7481754766953623,1.7620134273198829,1.81751448661434
confirm_K3_i000718,3,0.5,0.065033734787535,0.0435120325581148,-2.6270650639518127,1.5773893193364474,1.6051291332025723,1.6393582752340667,1.6582247003922457
confirm_K3_i000884,3,0.5,0.0824028605885341,0.1289986443781163,-1290.4693561135646,2.0191587889367435,2.008370310183212,2.0157940750064056,2.109461390138568
confirm_K3_i000975,3,0.5,0.0303592311355877,0.0292752881285836,1.2029288260242672,1.0696835057737042,0.9524792039537248,0.8840733696818671,0.9232951708368372
confirm_K3_i000936,3,0.5,0.0535140736750829,0.068708823288401,-372.3976006784232,1.4471353899774138,1.4116376595151947,1.4235892645899306,1.4874351390521292
confirm_K3_i000617,3,0.5,0.1581915573375919,0.1971798932260564,-4802.281674426808,2.028551591692405,2.0242635256316346,2.05760746616488,2.218855419648438
confirm_K3_i001308,3,0.5,0.0137121597942621,0.0205913271751223,5.523457844400923,1.4606788308381486,1.4564893408771125,1.4242622023260298,1.4421128588424974
confirm_K3_i000341,3,0.5,0.1445783604598985,0.1737450133681635,-18.89311197252318,1.909208553570202,1.9878178686743284,1.9486397876545225,2.1060082575101067
confirm_K3_i000022,3,0.5,0.0814326385640009,0.0786313928331423,-364.6093529621006,1.7223009216972696,1.783626300370562,1.763841985130073,1.8469203995295491
confirm_K3_i000150,3,0.5,0.0521933941344191,0.0673541187680009,0.2768207029630375,1.229894363583113,1.1666063543801268,1.146579382438857,1.2137619211583373
confirm_K4_i000423,4,0.5,0.0859968753196703,0.0674727725732666,-210.76365293805463,1.0894967172132828,1.1409182962011322,1.2538022884442108,1.2327004643757469
confirm_K4_i000373,4,0.5,0.137824702474169,0.1658272608848503,-843.0683673163923,1.9776985214402216,1.9687545604267755,1.978456455609268,2.133990382416528
confirm_K4_i000949,4,0.5,0.0260668072884646,0.0044746164287783,0.6951486429801169,1.661709611549611,1.5919209666003025,1.6200462609643702,1.5889123127110687
confirm_K4_i000448,4,0.5,0.0726220615337437,0.0895647096174105,-5.014875467961632,1.7516817153592346,1.8128466011713111,1.7789847717419789,1.850662572974036
confirm_K4_i000678,4,0.5,0.0397235154381902,0.0511888865722984,-2.4698483203103287,1.2614048457779643,1.2699960131580217,1.3336424134778424,1.3063536977021326
confirm_K4_i000909,4,0.5,0.0553385719085388,-0.0040616148333862,340.15784206334354,1.6962659728504976,1.628215680986858,1.714539877968324,1.627589791851922
confirm_K4_i001008,4,0.5,0.0250266817379426,0.0197598659903552,-47.668778303340254,1.584269455652463,1.6203739302831164,1.6198573348591068,1.6309392161159453
confirm_K4_i000767,4,0.5,0.1085639637294243,0.13862093501475,-1084.3906821020114,1.981508344792794,1.9933907770337072,1.976135174873905,2.108786918267798
confirm_K4_i000599,4,0.5,0.1072995327096585,0.1372888352175518,-9.31213150194991,1.964365376055916,1.9717300033557332,2.0071172812829903,2.095071555645308
confirm_K4_i000363,4,0.5,0.0174918503563658,0.0111792246035415,-3.1158854353098797,1.492612886306969,1.5010796020432384,1.5008699477242904,1.5144231570486708
confirm_K4_i001076,4,0.5,0.0619927794918269,0.0824052929053253,-3169.842053347773,2.028494119344295,2.023137543610184,2.0428425919530344,2.1025809570878278
confirm_K4_i000216,4,0.5,0.01729753062599,0.0488682602356951,0.973295970946126,0.5708973948383865,0.5117878145491184,0.4934197532708163,0.5162696944673694
confirm_K4_i001198,4,0.5,0.0308706886016489,0.0553462811114928,-7.90127798566779,1.918955828948688,1.8965765492428253,1.9328799588193748,1.9466307030074408
confirm_K4_i000247,4,0.5,0.0148738111089382,0.0039564822495041,0.4968458077988149,1.6954849392813272,1.709017229032406,1.711025088683902,1.682512644165048
confirm_K4_i000654,4,0.5,0.047672128488512,0.0233310475308201,-1.314202528018229,0.816873451006559,0.8995262966764203,0.8606906790134428,0.8691944338584057
