n_train,method,alpha,beta,outcome,diagnostic,spearman_rho,n_hmms
64,interpolated_backoff,0.5,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8802648719062093,48
64,interpolated_backoff,0.5,5.0,excess_ce_H,empirical_effective_context_count,0.8441163699522363,48
64,interpolated_backoff,0.5,5.0,excess_ce_H,mean_backoff_weight,0.77594442032132,48
64,interpolated_backoff,0.5,20.0,shape_rmse,unseen_test_context_rate,-0.36758399880455,48
64,interpolated_backoff,0.5,20.0,shape_rmse,mean_train_count_for_test_context,-0.5413590968302214,48
64,interpolated_backoff,0.5,20.0,shape_rmse,empirical_effective_context_count,0.3310898827616153,48
64,interpolated_backoff,0.5,20.0,shape_rmse,mean_backoff_weight,0.2810464611376465,48
64,interpolated_backoff,0.5,20.0,excess_ce_H,unseen_test_context_rate,0.1516039735175883,48
64,interpolated_backoff,0.5,20.0,excess_ce_H,mean_train_count_for_test_context,-0.6059487624837169,48
64,interpolated_backoff,0.5,20.0,excess_ce_H,empirical_effective_context_count,0.5584020842379505,48
64,interpolated_backoff,0.5,20.0,excess_ce_H,mean_backoff_weight,0.5397307859313939,48
64,interpolated_backoff,1.0,1.0,shape_rmse,unseen_test_context_rate,-0.5213048913938125,48
64,interpolated_backoff,1.0,1.0,shape_rmse,mean_train_count_for_test_context,-0.0455927051671732,48
64,interpolated_backoff,1.0,1.0,shape_rmse,empirical_effective_context_count,-0.1910551454624403,48
64,interpolated_backoff,1.0,1.0,shape_rmse,mean_backoff_weight,-0.4147850629613547,48
64,interpolated_backoff,1.0,1.0,excess_ce_H,unseen_test_context_rate,-0.2633664445067449,48
64,interpolated_backoff,1.0,1.0,excess_ce_H,mean_train_count_for_test_context,-0.3072079895788102,48
64,interpolated_backoff,1.0,1.0,excess_ce_H,empirical_effective_context_count,0.1272253582283977,48
64,interpolated_backoff,1.0,1.0,excess_ce_H,mean_backoff_weight,-0.0920538428137212,48
64,interpolated_backoff,1.0,5.0,shape_rmse,unseen_test_context_rate,-0.6777397827929137,48
64,interpolated_backoff,1.0,5.0,shape_rmse,mean_train_count_for_test_context,0.1480677377333912,48
64,interpolated_backoff,1.0,5.0,shape_rmse,empirical_effective_context_count,-0.3951367781155014,48
64,interpolated_backoff,1.0,5.0,shape_rmse,mean_backoff_weight,-0.5350629613547546,48
64,interpolated_backoff,1.0,5.0,excess_ce_H,unseen_test_context_rate,-0.4371166483126169,48
64,interpolated_backoff,1.0,5.0,excess_ce_H,mean_train_count_for_test_context,-0.0735996526270082,48
64,interpolated_backoff,1.0,5.0,excess_ce_H,empirical_effective_context_count,-0.1305905340859748,48
64,interpolated_backoff,1.0,5.0,excess_ce_H,mean_backoff_weight,-0.2629179331306991,48
64,interpolated_backoff,1.0,20.0,shape_rmse,unseen_test_context_rate,-0.7986755697593251,48
64,interpolated_backoff,1.0,20.0,shape_rmse,mean_train_count_for_test_context,0.3545375597047329,48
64,interpolated_backoff,1.0,20.0,shape_rmse,empirical_effective_context_count,-0.6012809379070777,48
64,interpolated_backoff,1.0,20.0,shape_rmse,mean_backoff_weight,-0.6480677377333912,48
64,interpolated_backoff,1.0,20.0,excess_ce_H,unseen_test_context_rate,-0.5145741743454126,48
64,interpolated_backoff,1.0,20.0,excess_ce_H,mean_train_count_for_test_context,0.1016066000868432,48
64,interpolated_backoff,1.0,20.0,excess_ce_H,empirical_effective_context_count,-0.294398610508033,48
64,interpolated_backoff,1.0,20.0,excess_ce_H,mean_backoff_weight,-0.3374945722970039,48
128,additive,0.1,,shape_rmse,unseen_test_context_rate,0.068402053296293,48
128,additive,0.1,,shape_rmse,mean_train_count_for_test_context,-0.8424880590534086,48
128,additive,0.1,,shape_rmse,empirical_effective_context_count,0.9703647416413372,48
128,additive,0.1,,shape_rmse,mean_backoff_weight,,48
128,additive,0.1,,excess_ce_H,unseen_test_context_rate,0.0736679256532298,48
128,additive,0.1,,excess_ce_H,mean_train_count_for_test_context,-0.8416196265740339,48
128,additive,0.1,,excess_ce_H,empirical_effective_context_count,0.9662396873643074,48
128,additive,0.1,,excess_ce_H,mean_backoff_weight,,48
128,additive,0.5,,shape_rmse,unseen_test_context_rate,0.0055373090763665,48
128,additive,0.5,,shape_rmse,mean_train_count_for_test_context,-0.8796135475466783,48
128,additive,0.5,,shape_rmse,empirical_effective_context_count,0.978072079895788,48
128,additive,0.5,,shape_rmse,mean_backoff_weight,,48
128,additive,0.5,,excess_ce_H,unseen_test_context_rate,0.0442984726109326,48
128,additive,0.5,,excess_ce_H,mean_train_count_for_test_context,-0.8731003039513678,48
128,additive,0.5,,excess_ce_H,empirical_effective_context_count,0.971450282240556,48
128,additive,0.5,,excess_ce_H,mean_backoff_weight,,48
128,additive,1.0,,shape_rmse,unseen_test_context_rate,-0.0758394194086677,48
128,additive,1.0,,shape_rmse,mean_train_count_for_test_context,-0.8582283977420755,48
128,additive,1.0,,shape_rmse,empirical_effective_context_count,0.873643074250977,48
128,additive,1.0,,shape_rmse,mean_backoff_weight,,48
128,additive,1.0,,excess_ce_H,unseen_test_context_rate,0.0218777995860365,48
128,additive,1.0,,excess_ce_H,mean_train_count_for_test_context,-0.8615935735996526,48
128,additive,1.0,,excess_ce_H,empirical_effective_context_count,0.889383412939644,48
128,additive,1.0,,excess_ce_H,mean_backoff_weight,,48
128,interpolated_backoff,0.1,1.0,shape_rmse,unseen_test_context_rate,0.0659591228214254,48
128,interpolated_backoff,0.1,1.0,shape_rmse,mean_train_count_for_test_context,-0.8488927485887973,48
128,interpolated_backoff,0.1,1.0,shape_rmse,empirical_effective_context_count,0.972752930959618,48
128,interpolated_backoff,0.1,1.0,shape_rmse,mean_backoff_weight,0.9745983499782892,48
128,interpolated_backoff,0.1,1.0,excess_ce_H,unseen_test_context_rate,0.0758937067525536,48
128,interpolated_backoff,0.1,1.0,excess_ce_H,mean_train_count_for_test_context,-0.851715154146765,48
128,interpolated_backoff,0.1,1.0,excess_ce_H,empirical_effective_context_count,0.9702561875814156,48
128,interpolated_backoff,0.1,1.0,excess_ce_H,mean_backoff_weight,0.9772036474164134,48
128,interpolated_backoff,0.1,5.0,shape_rmse,unseen_test_context_rate,0.0609103998400323,48
128,interpolated_backoff,0.1,5.0,shape_rmse,mean_train_count_for_test_context,-0.8541033434650457,48
128,interpolated_backoff,0.1,5.0,shape_rmse,empirical_effective_context_count,0.9730785931393832,48
128,interpolated_backoff,0.1,5.0,shape_rmse,mean_backoff_weight,0.991858445505862,48
128,interpolated_backoff,0.1,5.0,excess_ce_H,unseen_test_context_rate,0.0875654856880322,48
128,interpolated_backoff,0.1,5.0,excess_ce_H,mean_train_count_for_test_context,-0.8468302214502821,48
128,interpolated_backoff,0.1,5.0,excess_ce_H,empirical_effective_context_count,0.961788970907512,48
128,interpolated_backoff,0.1,5.0,excess_ce_H,mean_backoff_weight,0.9872991749891444,48
128,interpolated_backoff,0.1,20.0,shape_rmse,unseen_test_context_rate,0.0586303313968225,48
128,interpolated_backoff,0.1,20.0,shape_rmse,mean_train_count_for_test_context,-0.8526921406860616,48
128,interpolated_backoff,0.1,20.0,shape_rmse,empirical_effective_context_count,0.961137646547981,48
128,interpolated_backoff,0.1,20.0,shape_rmse,mean_backoff_weight,0.9773122014763352,48
128,interpolated_backoff,0.1,20.0,excess_ce_H,unseen_test_context_rate,0.1243180174988182,48
128,interpolated_backoff,0.1,20.0,excess_ce_H,mean_train_count_for_test_context,-0.8158923143725575,48
128,interpolated_backoff,0.1,20.0,excess_ce_H,empirical_effective_context_count,0.912505427702996,48
128,interpolated_backoff,0.1,20.0,excess_ce_H,mean_backoff_weight,0.9300911854103344,48
128,interpolated_backoff,0.5,1.0,shape_rmse,unseen_test_context_rate,-0.0536901831032014,48
128,interpolated_backoff,0.5,1.0,shape_rmse,mean_train_count_for_test_context,-0.9196699956578376,48
128,interpolated_backoff,0.5,1.0,shape_rmse,empirical_effective_context_count,0.9804602692140686,48
128,interpolated_backoff,0.5,1.0,shape_rmse,mean_backoff_weight,0.9046895353886236,48
128,interpolated_backoff,0.5,1.0,excess_ce_H,unseen_test_context_rate,-0.0052658723569368,48
128,interpolated_backoff,0.5,1.0,excess_ce_H,mean_train_count_for_test_context,-0.9065349544072948,48
128,interpolated_backoff,0.5,1.0,excess_ce_H,empirical_effective_context_count,0.9701476335214936,48
128,interpolated_backoff,0.5,1.0,excess_ce_H,mean_backoff_weight,0.9231437255753364,48
128,interpolated_backoff,0.5,5.0,shape_rmse,unseen_test_context_rate,-0.1411470941034617,48
128,interpolated_backoff,0.5,5.0,shape_rmse,mean_train_count_for_test_context,-0.9398610508033,48
128,interpolated_backoff,0.5,5.0,shape_rmse,empirical_effective_context_count,0.9491966999565784,48
128,interpolated_backoff,0.5,5.0,shape_rmse,mean_backoff_weight,0.894051237516283,48
128,interpolated_backoff,0.5,5.0,excess_ce_H,unseen_test_context_rate,-0.0357753596208389,48
128,interpolated_backoff,0.5,5.0,excess_ce_H,mean_train_count_for_test_context,-0.90979157620495,48
128,interpolated_backoff,0.5,5.0,excess_ce_H,empirical_effective_context_count,0.9445288753799392,48
128,interpolated_backoff,0.5,5.0,excess_ce_H,mean_backoff_weight,0.91804168475901,48
128,interpolated_backoff,0.5,20.0,shape_rmse,unseen_test_context_rate,-0.2944545532373755,48
128,interpolated_backoff,0.5,20.0,shape_rmse,mean_train_count_for_test_context,-0.9102257924446376,48
128,interpolated_backoff,0.5,20.0,shape_rmse,empirical_effective_context_count,0.8512809379070776,48
128,interpolated_backoff,0.5,20.0,shape_rmse,mean_backoff_weight,0.8034085974815458,48
128,interpolated_backoff,0.5,20.0,excess_ce_H,unseen_test_context_rate,0.0108031814333034,48
128,interpolated_backoff,0.5,20.0,excess_ce_H,mean_train_count_for_test_context,-0.7847372991749891,48
128,interpolated_backoff,0.5,20.0,excess_ce_H,empirical_effective_context_count,0.7948328267477204,48
128,interpolated_backoff,0.5,20.0,excess_ce_H,mean_backoff_weight,0.7856057316543639,48
128,interpolated_backoff,1.0,1.0,shape_rmse,unseen_test_context_rate,-0.3208924897098317,48
128,interpolated_backoff,1.0,1.0,shape_rmse,mean_train_count_for_test_context,-0.8839557099435519,48
128,interpolated_backoff,1.0,1.0,shape_rmse,empirical_effective_context_count,0.7857142857142857,48
128,interpolated_backoff,1.0,1.0,shape_rmse,mean_backoff_weight,0.5755536257056014,48
128,interpolated_backoff,1.0,1.0,excess_ce_H,unseen_test_context_rate,-0.1455986563021094,48
128,interpolated_backoff,1.0,1.0,excess_ce_H,mean_train_count_for_test_context,-0.8935084672166739,48
128,interpolated_backoff,1.0,1.0,excess_ce_H,empirical_effective_context_count,0.8520408163265306,48
128,interpolated_backoff,1.0,1.0,excess_ce_H,mean_backoff_weight,0.7270950933564915,48
128,interpolated_backoff,1.0,5.0,shape_rmse,unseen_test_context_rate,-0.4106837564971877,48
128,interpolated_backoff,1.0,5.0,shape_rmse,mean_train_count_for_test_context,-0.6910551454624404,48
128,interpolated_backoff,1.0,5.0,shape_rmse,empirical_effective_context_count,0.4955492835432045,48
128,interpolated_backoff,1.0,5.0,shape_rmse,mean_backoff_weight,0.3411854103343465,48
128,interpolated_backoff,1.0,5.0,excess_ce_H,unseen_test_context_rate,-0.1621562961873232,48
128,interpolated_backoff,1.0,5.0,excess_ce_H,mean_train_count_for_test_context,-0.7409900130264871,48
128,interpolated_backoff,1.0,5.0,excess_ce_H,empirical_effective_context_count,0.6272253582283976,48
128,interpolated_backoff,1.0,5.0,excess_ce_H,mean_backoff_weight,0.5274641771602258,48
128,interpolated_backoff,1.0,20.0,shape_rmse,unseen_test_context_rate,-0.4724627538393952,48
128,interpolated_backoff,1.0,20.0,shape_rmse,mean_train_count_for_test_context,-0.169344333478072,48
128,interpolated_backoff,1.0,20.0,shape_rmse,empirical_effective_context_count,-0.1042118975249674,48
128,interpolated_backoff,1.0,20.0,shape_rmse,mean_backoff_weight,-0.2053842813721233,48
128,interpolated_backoff,1.0,20.0,excess_ce_H,unseen_test_context_rate,-0.054070194510403,48
128,interpolated_backoff,1.0,20.0,excess_ce_H,mean_train_count_for_test_context,-0.4488710377768128,48
128,interpolated_backoff,1.0,20.0,excess_ce_H,empirical_effective_context_count,0.2997177594442032,48
128,interpolated_backoff,1.0,20.0,excess_ce_H,mean_backoff_weight,0.2368649587494572,48
256,additive,0.1,,shape_rmse,unseen_test_context_rate,-0.3026090984787272,48
256,additive,0.1,,shape_rmse,mean_train_count_for_test_context,-0.789622231871472,48
256,additive,0.1,,shape_rmse,empirical_effective_context_count,0.9456144159791576,48
256,additive,0.1,,shape_rmse,mean_backoff_weight,,48
