hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,source,source_file,K,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_sv3,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,bank_index,alpha_t,self_bias,alpha_e,gen_seed,pred_h4_m1_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,selection_order,match_protocol,pred_h4_m3_sv1,pred_h4_m3_sv2,pred_h4_m3_signal,pred_h4_m3_effective_rank,pred_h4_m3_numerical_rank,pred_h4_m3_r90,pred_h4_m3_sigma90,pred_h4_m3_kappa90,pred_h4_m3_r95,pred_h4_m3_sigma95,pred_h4_m3_kappa95,pred_h4_m3_r99,pred_h4_m3_sigma99,pred_h4_m3_kappa99,hmm_file,pred_h4_m3_sv3,pred_h4_m3_sv4,pred_h4_m3_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,log_K,log_gain,rank_value,log_rank,neg_log_sigma,log_tau,log_min_symbol_prob,log_signal
bank_K3_i000535,GRU,0.0323102939811825,0.0276321519608734,32,0.0062143191370279,32.0,32.0,0.0249956638921005,-3.179192747078808,bank,,3,8,0.2925929865354766,0.031731889322968,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0003135979306767,0.0003342717717247,0.0949017317422567,0.0042868950121064,0.009024716156524,1.014760583064604,2,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,0.097885147835056,0.0043875406675228,,0.0096007526797999,1.014563956869379,2,1,0.097885147835056,1.0,1,0.097885147835056,1.0,1,0.097885147835056,1.0,0.2747579799777663,1.3788500561086394,1.303072598021703,535.0,5.0,2.0,0.5,21100853.0,,,,,,0,v4_strict_ratio_crossK_reuse,0.0980639133334829,0.0043937640158404,0.0096358362605037,1.0145536925113308,2,1,0.0980639133334829,1.0,1,0.0980639133334829,1.0,1,0.0980639133334829,1.0,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000535.npz,,,,1.8701148844608568,0.899335156568105,0.2381875711560165,0.031731889322968,0.2260357799077508,0.0401524041615922,0.031731889322968,0.2343399531877938,0.0727137715630432,0.0778140903823355,0.2381875711560165,0.1080819430506807,0.1969783771755698,1.0986122886681098,-8.003556208053519,1.0,0.0,2.323960448461509,0.2647250126471903,-3.450433131416609,-4.645913779435968
bank_K3_i000535,Transformer,0.0257977398654953,0.0194740285698207,256,0.0032443984898365,256.0,256.0,0.0146653623156734,-8.86539750740661,bank,,3,8,0.2925929865354766,0.031731889322968,1.865914553978806,1.8656205015312584,1.865602084406048,1.8656009560481293,0.0003135979306767,0.0003342717717247,0.0949017317422567,0.0042868950121064,0.009024716156524,1.014760583064604,2,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,1,0.0949017317422567,1.0,0.097885147835056,0.0043875406675228,,0.0096007526797999,1.014563956869379,2,1,0.097885147835056,1.0,1,0.097885147835056,1.0,1,0.097885147835056,1.0,0.2747579799777663,1.3788500561086394,1.303072598021703,535.0,5.0,2.0,0.5,21100853.0,,,,,,0,v4_strict_ratio_crossK_reuse,0.0980639133334829,0.0043937640158404,0.0096358362605037,1.0145536925113308,2,1,0.0980639133334829,1.0,1,0.0980639133334829,1.0,1,0.0980639133334829,1.0,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000535.npz,,,,1.8701148844608568,0.899335156568105,0.2381875711560165,0.031731889322968,0.2260357799077508,0.0401524041615922,0.031731889322968,0.2343399531877938,0.0727137715630432,0.0778140903823355,0.2381875711560165,0.1080819430506807,0.1969783771755698,1.0986122886681098,-8.003556208053519,1.0,0.0,2.323960448461509,0.2647250126471903,-3.450433131416609,-4.645913779435968
bank_K3_i000588,GRU,0.0388798014698056,0.035018419374114,256,0.0085199822811744,256.0,256.0,0.020233577037307,7.370065674894925,bank,,3,8,0.2648490483643544,0.0014115458809306,1.5801255645898418,1.5798156500843423,1.5798024172088625,1.5798018977313997,0.000323666858442,0.0003379386888475,0.1152450465868311,0.0956391428667937,0.0224282664110958,1.9661115681043884,2,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,0.1165693300643632,0.0974359647065471,,0.0230821759299499,1.9686130712836616,2,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,0.2009353405294628,1.251463180292072,1.333354854385275,588.0,5.0,2.0,0.1,21154364.0,,,,,,1,v4_strict_ratio_crossK_reuse,0.1166369458993496,0.0974999796026444,0.0231104231712439,1.9686393537978963,2,2,0.0974999796026444,1.1962766184638889,2,0.0974999796026444,1.1962766184638889,2,0.0974999796026444,1.1962766184638889,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000588.npz,,,,1.590915742599347,0.7650687507734202,0.3768895791410592,0.0014115458809306,0.3638396013809226,0.0014115458809306,0.1175790134318444,0.0520981371647549,0.0621467989696627,0.301457416195401,0.0356987152107298,0.0527187940056168,0.3768895791410592,1.0986122886681098,-7.992646072877434,2.0,0.6931471805599453,2.328559888988245,0.287698213110476,-6.563069805711796,-3.7686945640586393
bank_K3_i000588,Transformer,0.0363700012249669,0.0282513827086463,8,0.0,,,0.0238050524941749,18.573813705179028,bank,,3,8,0.2648490483643544,0.0014115458809306,1.5801255645898418,1.5798156500843423,1.5798024172088625,1.5798018977313997,0.000323666858442,0.0003379386888475,0.1152450465868311,0.0956391428667937,0.0224282664110958,1.9661115681043884,2,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,2,0.0956391428667937,1.2049987393482238,0.1165693300643632,0.0974359647065471,,0.0230821759299499,1.9686130712836616,2,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,2,0.0974359647065471,1.1963686141502368,0.2009353405294628,1.251463180292072,1.333354854385275,588.0,5.0,2.0,0.1,21154364.0,,,,,,1,v4_strict_ratio_crossK_reuse,0.1166369458993496,0.0974999796026444,0.0231104231712439,1.9686393537978963,2,2,0.0974999796026444,1.1962766184638889,2,0.0974999796026444,1.1962766184638889,2,0.0974999796026444,1.1962766184638889,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000588.npz,,,,1.590915742599347,0.7650687507734202,0.3768895791410592,0.0014115458809306,0.3638396013809226,0.0014115458809306,0.1175790134318444,0.0520981371647549,0.0621467989696627,0.301457416195401,0.0356987152107298,0.0527187940056168,0.3768895791410592,1.0986122886681098,-7.992646072877434,2.0,0.6931471805599453,2.328559888988245,0.287698213110476,-6.563069805711796,-3.7686945640586393
bank_K3_i000606,GRU,0.0503780761056831,0.043747848709944,32,0.0220307442341416,32.0,32.0,0.0197901941222098,-294.91180810558564,bank,,3,8,0.0614616454997819,2.84905195681739e-05,0.5790576009142785,0.5790416370998764,0.5790363677090246,0.5790339349850653,2.3665929213212426e-05,3.3800767983649393e-05,0.4508637948385233,0.004044498638877,0.2032945194654339,1.000839407039895,2,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,0.4508808495306183,0.0076253065137425,,0.2033516857728805,1.0026224812041291,2,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,0.6326166327308335,2.721952295862489,2.6257994060473044,606.0,1.0,2.0,0.1,21172543.0,,,,,,16,v4_strict_ratio_crossK_reuse,0.4508813312159726,0.0088034638704427,0.2033714758152058,1.0033867891425303,2,1,0.4508813312159726,1.0,1,0.4508813312159726,1.0,1,0.4508813312159726,1.0,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000606.npz,,,,0.6568859624944021,0.3158953735067492,0.7984121892892782,2.8490519568173905e-05,0.732823003950886,0.002154873649401,2.8490519568173905e-05,0.0094459780778938,0.7984121892892782,0.0004667599233479,0.1523829315651508,0.0353525127636297,0.0017562642117302,1.0986122886681098,-10.295027034323684,1.0,0.0,0.7965521661123602,0.9653853853190906,-10.465939172759606,-1.5928183566564766
bank_K3_i000606,Transformer,0.049110580525428,0.0415763681253791,32,0.0032039534063709,32.0,32.0,0.0004184651772185,454.5092758281227,bank,,3,8,0.0614616454997819,2.84905195681739e-05,0.5790576009142785,0.5790416370998764,0.5790363677090246,0.5790339349850653,2.3665929213212426e-05,3.3800767983649393e-05,0.4508637948385233,0.004044498638877,0.2032945194654339,1.000839407039895,2,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,1,0.4508637948385233,1.0,0.4508808495306183,0.0076253065137425,,0.2033516857728805,1.0026224812041291,2,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,1,0.4508808495306183,1.0,0.6326166327308335,2.721952295862489,2.6257994060473044,606.0,1.0,2.0,0.1,21172543.0,,,,,,16,v4_strict_ratio_crossK_reuse,0.4508813312159726,0.0088034638704427,0.2033714758152058,1.0033867891425303,2,1,0.4508813312159726,1.0,1,0.4508813312159726,1.0,1,0.4508813312159726,1.0,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000606.npz,,,,0.6568859624944021,0.3158953735067492,0.7984121892892782,2.8490519568173905e-05,0.732823003950886,0.002154873649401,2.8490519568173905e-05,0.0094459780778938,0.7984121892892782,0.0004667599233479,0.1523829315651508,0.0353525127636297,0.0017562642117302,1.0986122886681098,-10.295027034323684,1.0,0.0,0.7965521661123602,0.9653853853190906,-10.465939172759606,-1.5928183566564766
bank_K3_i000981,GRU,0.0547026045924892,0.0463703922076477,128,0.0042925335574605,128.0,128.0,-0.0124545437533686,45.402569999514746,bank,,3,8,0.0761967306246571,0.0009748148903909,1.0163926370182246,1.0157455118100809,1.015725835054195,1.0157253312063814,0.0006673058118431,0.0006879902633558,0.3568817199671336,0.1201584394120034,0.1418026126086276,1.3896600423418222,2,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,0.3584011372972585,0.1231182785685426,,0.1436094857336496,1.4008947032860877,2,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,0.3808543719143897,1.615128904474358,2.13809061877748,981.0,1.0,0.0,0.1,21551156.0,,,,,,3,v4_strict_ratio_crossK_reuse,0.3584461418425074,0.1232038881538381,0.1436628346580024,1.4012167465273933,2,2,0.1232038881538381,2.9093736181031464,2,0.1232038881538381,2.9093736181031464,2,0.1232038881538381,2.9093736181031464,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000981.npz,,,,1.08234983396868,0.5205002459912026,0.6114594759254849,0.0009748148903909,0.5670834411639477,0.0126027623323737,0.6114594759254849,0.0208916280439171,0.2583669231148094,0.0023065877050527,0.0688837632829209,0.0245140447050499,0.0009748148903909,1.0986122886681098,-7.2817358722302,2.0,0.6931471805599453,2.094609771286242,0.7599131965397586,-6.933262961000694,-1.9406575679086435
bank_K3_i000981,Transformer,0.0540551230602339,0.0463491634865336,128,0.0219343192480638,128.0,128.0,0.0093720714045676,6.283371390878848,bank,,3,8,0.0761967306246571,0.0009748148903909,1.0163926370182246,1.0157455118100809,1.015725835054195,1.0157253312063814,0.0006673058118431,0.0006879902633558,0.3568817199671336,0.1201584394120034,0.1418026126086276,1.3896600423418222,2,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,2,0.1201584394120034,2.9700928350396194,0.3584011372972585,0.1231182785685426,,0.1436094857336496,1.4008947032860877,2,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,2,0.1231182785685426,2.911031095173481,0.3808543719143897,1.615128904474358,2.13809061877748,981.0,1.0,0.0,0.1,21551156.0,,,,,,3,v4_strict_ratio_crossK_reuse,0.3584461418425074,0.1232038881538381,0.1436628346580024,1.4012167465273933,2,2,0.1232038881538381,2.9093736181031464,2,0.1232038881538381,2.9093736181031464,2,0.1232038881538381,2.9093736181031464,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i000981.npz,,,,1.08234983396868,0.5205002459912026,0.6114594759254849,0.0009748148903909,0.5670834411639477,0.0126027623323737,0.6114594759254849,0.0208916280439171,0.2583669231148094,0.0023065877050527,0.0688837632829209,0.0245140447050499,0.0009748148903909,1.0986122886681098,-7.2817358722302,2.0,0.6931471805599453,2.094609771286242,0.7599131965397586,-6.933262961000694,-1.9406575679086435
bank_K3_i001156,GRU,0.0407854666314963,0.032189985429072,32,0.0155822835445175,32.0,32.0,0.0126554300641652,30.209564659223695,bank,,3,8,0.1467822097808318,0.0192451754875992,1.7001812578450106,1.699595122759297,1.6995457904136493,1.6995416419415323,0.0006396159034782,0.0006972451933597,0.1219405350823022,0.0135941041879285,0.0150542937648304,1.068455433424788,2,1,0.1219405350823022,1.0,1,0.1219405350823022,1.0,2,0.0135941041879285,8.970104495048975,0.1269959368275083,0.01425950390949,,0.0163313014224412,1.0692747870176524,2,1,0.1269959368275083,1.0,1,0.1269959368275083,1.0,2,0.01425950390949,8.906055752962706,0.3750370957217847,1.6000949706845788,2.16831595136032,1156.0,5.0,2.0,0.5,21727833.0,,,,,,2,v4_strict_ratio_crossK_reuse,0.1274099872862299,0.0143230322272546,0.0164384541124602,1.0694117908903205,2,1,0.1274099872862299,1.0,1,0.1274099872862299,1.0,2,0.0143230322272546,8.895461887168512,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i001156.npz,,,,1.7070620707867723,0.8209233280045738,0.3872633003477721,0.0192451754875992,0.3245264597947397,0.0192451754875992,0.0662127433881685,0.0743660751945811,0.1810787791347836,0.0228116967321166,0.1781012669258703,0.3872633003477721,0.0709209627891085,1.0986122886681098,-7.268373425191875,1.0,0.0,2.063600186519535,0.7739508069815166,-3.9504948736806127,-4.11467167998596
bank_K3_i001156,Transformer,0.0478850015838837,0.0393741869124491,8,0.0,,,0.0215661193010276,3.9018433643617456,bank,,3,8,0.1467822097808318,0.0192451754875992,1.7001812578450106,1.699595122759297,1.6995457904136493,1.6995416419415323,0.0006396159034782,0.0006972451933597,0.1219405350823022,0.0135941041879285,0.0150542937648304,1.068455433424788,2,1,0.1219405350823022,1.0,1,0.1219405350823022,1.0,2,0.0135941041879285,8.970104495048975,0.1269959368275083,0.01425950390949,,0.0163313014224412,1.0692747870176524,2,1,0.1269959368275083,1.0,1,0.1269959368275083,1.0,2,0.01425950390949,8.906055752962706,0.3750370957217847,1.6000949706845788,2.16831595136032,1156.0,5.0,2.0,0.5,21727833.0,,,,,,2,v4_strict_ratio_crossK_reuse,0.1274099872862299,0.0143230322272546,0.0164384541124602,1.0694117908903205,2,1,0.1274099872862299,1.0,1,0.1274099872862299,1.0,2,0.0143230322272546,8.895461887168512,project://predictive_profile_experiment_v2/selected_hmms/bank_K3_i001156.npz,,,,1.7070620707867723,0.8209233280045738,0.3872633003477721,0.0192451754875992,0.3245264597947397,0.0192451754875992,0.0662127433881685,0.0743660751945811,0.1810787791347836,0.0228116967321166,0.1781012669258703,0.3872633003477721,0.0709209627891085,1.0986122886681098,-7.268373425191875,1.0,0.0,2.063600186519535,0.7739508069815166,-3.9504948736806127,-4.11467167998596
