hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K,source,cohort,K_metric,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,log_K,log_gain,rank_value,log_rank,neg_log_sigma,log_tau,log_min_symbol_prob,log_signal,selection_cluster,distance_to_cluster_center,cluster_size,selection_protocol,pred_h4_m3_sv1,pred_h4_m3_sv2,pred_h4_m3_signal,pred_h4_m3_effective_rank,pred_h4_m3_numerical_rank,pred_h4_m3_r90,pred_h4_m3_sigma90,pred_h4_m3_kappa90,pred_h4_m3_r95,pred_h4_m3_sigma95,pred_h4_m3_kappa95,pred_h4_m3_r99,pred_h4_m3_sigma99,pred_h4_m3_kappa99,hmm_file,pred_h4_m3_sv3,pred_h4_m3_sv4,pred_h4_m3_sv5
confirm_K3_i000022,GRU,0.0309899798366508,0.0261890474828433,128,0.0020786837715007,128.0,128.0,0.0143898213195165,37.59735166803992,3,bank,independent_confirmatory64,3,22,5.0,2.0,0.5,2026393899,8,0.2332793769878881,0.0116295986441908,1.768630795728476,1.7683012061830208,1.76828942732386,1.768289006696407,0.0003417890320691,0.000354409146136,0.1355897661599298,0.0019362334716497,0.0183883336873611,1.001938297042155,2,1,0.1355897661599298,1.0,1,0.1355897661599298,1.0,1,0.1355897661599298,1.0,0.1381251640998671,0.0019646747095722,0.0190824209043296,1.0019246539752071,2,1,0.1381251640998671,1.0,1,0.1381251640998671,1.0,1,0.1381251640998671,1.0,0.2766727090460524,1.382500028004152,1.6091304646619893,,,,,,,1.7773995900063322,0.8547485247267375,0.3442345668130269,0.0116295986441908,0.2829642867158291,0.0116295986441908,0.12671290812798,0.205958902369771,0.1199536203586016,0.3442345668130269,0.0517425001299666,0.0461438837255654,0.0936240198308975,1.0986122886681098,-7.945058532184729,1.0,0.0,1.9795950186574889,0.4756939490375652,-4.454201823434779,-3.958987739232525,14,0.1209048752411192,63,independent_profile_kmeans_holdout_v1,0.1382150646195818,0.0019655428716146,0.0191072674465753,1.0019239341713588,2,1,0.1382150646195818,1.0,1,0.1382150646195818,1.0,1,0.1382150646195818,1.0,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000022.npz,,,
confirm_K3_i000022,Transformer,0.0354938743689493,0.0289004675252921,256,0.0024621506637463,256.0,256.0,0.0162601319985946,-2.733045893403593,3,bank,independent_confirmatory64,3,22,5.0,2.0,0.5,2026393899,8,0.2332793769878881,0.0116295986441908,1.768630795728476,1.7683012061830208,1.76828942732386,1.768289006696407,0.0003417890320691,0.000354409146136,0.1355897661599298,0.0019362334716497,0.0183883336873611,1.001938297042155,2,1,0.1355897661599298,1.0,1,0.1355897661599298,1.0,1,0.1355897661599298,1.0,0.1381251640998671,0.0019646747095722,0.0190824209043296,1.0019246539752071,2,1,0.1381251640998671,1.0,1,0.1381251640998671,1.0,1,0.1381251640998671,1.0,0.2766727090460524,1.382500028004152,1.6091304646619893,,,,,,,1.7773995900063322,0.8547485247267375,0.3442345668130269,0.0116295986441908,0.2829642867158291,0.0116295986441908,0.12671290812798,0.205958902369771,0.1199536203586016,0.3442345668130269,0.0517425001299666,0.0461438837255654,0.0936240198308975,1.0986122886681098,-7.945058532184729,1.0,0.0,1.9795950186574889,0.4756939490375652,-4.454201823434779,-3.958987739232525,14,0.1209048752411192,63,independent_profile_kmeans_holdout_v1,0.1382150646195818,0.0019655428716146,0.0191072674465753,1.0019239341713588,2,1,0.1382150646195818,1.0,1,0.1382150646195818,1.0,1,0.1382150646195818,1.0,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000022.npz,,,
confirm_K3_i000056,GRU,0.0215629343191594,0.0164837375393272,128,0.0069167677479588,128.0,128.0,0.0168695523604322,2.8699218120817998,3,bank,independent_confirmatory64,3,56,0.2,0.0,2.0,2026428239,8,0.0848551286660552,0.0637634504690395,1.9830230469972832,1.98068827551038,1.97988122401967,1.9796259295925929,0.0033971174046905,0.0047147577495547,0.1488120593715177,0.0075753633236407,0.0222024151438772,1.0181438909178329,2,1,0.1488120593715177,1.0,1,0.1488120593715177,1.0,1,0.1488120593715177,1.0,0.170386434262416,0.0093238406304464,0.0291184709847625,1.020547105762187,2,1,0.170386434262416,1.0,1,0.170386434262416,1.0,1,0.170386434262416,1.0,0.6452157772258794,2.8186146277329445,4.8167480555935285,,,,,,,1.991429896960333,0.9576753455408974,0.2288656891220822,0.0637634504690395,0.1491426559929232,0.1270882311959019,0.0705829192356904,0.0637634504690395,0.1528810755357011,0.0688583952754767,0.1506969655719678,0.2288656891220822,0.1372632735941402,1.0986122886681098,-5.357057742890078,1.0,0.0,1.7696862788921126,1.5720990231026306,-2.7525751294487466,-3.5363825644236084,0,0.0756198232660995,86,independent_profile_kmeans_holdout_v1,0.1769337505206039,0.0096414620413196,0.0313985098635815,1.0203990575883366,2,1,0.1769337505206039,1.0,1,0.1769337505206039,1.0,1,0.1769337505206039,1.0,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000056.npz,,,
confirm_K3_i000056,Transformer,0.0279658848556628,0.0153088359464747,8,0.0,,,0.0246088422104287,-0.3569835364943743,3,bank,independent_confirmatory64,3,56,0.2,0.0,2.0,2026428239,8,0.0848551286660552,0.0637634504690395,1.9830230469972832,1.98068827551038,1.97988122401967,1.9796259295925929,0.0033971174046905,0.0047147577495547,0.1488120593715177,0.0075753633236407,0.0222024151438772,1.0181438909178329,2,1,0.1488120593715177,1.0,1,0.1488120593715177,1.0,1,0.1488120593715177,1.0,0.170386434262416,0.0093238406304464,0.0291184709847625,1.020547105762187,2,1,0.170386434262416,1.0,1,0.170386434262416,1.0,1,0.170386434262416,1.0,0.6452157772258794,2.8186146277329445,4.8167480555935285,,,,,,,1.991429896960333,0.9576753455408974,0.2288656891220822,0.0637634504690395,0.1491426559929232,0.1270882311959019,0.0705829192356904,0.0637634504690395,0.1528810755357011,0.0688583952754767,0.1506969655719678,0.2288656891220822,0.1372632735941402,1.0986122886681098,-5.357057742890078,1.0,0.0,1.7696862788921126,1.5720990231026306,-2.7525751294487466,-3.5363825644236084,0,0.0756198232660995,86,independent_profile_kmeans_holdout_v1,0.1769337505206039,0.0096414620413196,0.0313985098635815,1.0203990575883366,2,1,0.1769337505206039,1.0,1,0.1769337505206039,1.0,1,0.1769337505206039,1.0,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000056.npz,,,
confirm_K3_i000150,GRU,0.0392647786538661,0.0240776057290203,32,0.0168855222018723,32.0,32.0,0.0549553632862574,0.7859639831099363,3,bank,independent_confirmatory64,3,150,1.0,8.0,0.1,2026523136,8,0.2117272840234076,7.613205652028172e-05,1.2046853887561575,1.1630733154742794,1.1502693216384334,1.1464078023903364,0.0582775863658211,0.0788046186978612,0.6150563949088234,0.3027411556891082,0.4699465762662154,1.637925364488935,2,2,0.3027411556891082,2.031624651457824,2,0.3027411556891082,2.031624651457824,2,0.3027411556891082,2.031624651457824,0.6887669553629899,0.3575204393028395,0.6022207833192983,1.6768574113006849,2,2,0.3575204393028395,1.9265107100060548,2,0.3575204393028395,1.9265107100060548,2,0.3575204393028395,1.9265107100060548,0.8338993224142615,6.020445036919345,8.653001566964772,,,,,,,1.357649036522406,0.6528911774195181,0.3928222703699858,7.613205652028172e-05,0.4210825002580358,0.0003593524613433,0.0787523695166654,0.3541633466702058,7.613205652028172e-05,0.112450544826629,0.0003667254063183,0.3928222703699858,0.061009258692332,1.0986122886681098,-2.5407836709189526,2.0,0.6931471805599453,1.0285627456073057,2.1579062627137766,-9.483041139740523,-0.5071311512097174,15,0.1958406467403336,43,independent_profile_kmeans_holdout_v1,0.7076204736674503,0.3752158975325276,0.641513704514487,1.6925298927361525,2,2,0.3752158975325276,1.8859021654489103,2,0.3752158975325276,1.8859021654489103,2,0.3752158975325276,1.8859021654489103,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000150.npz,,,
confirm_K3_i000150,Transformer,0.0396331119359131,0.0272552462055208,128,0.0132662328545076,128.0,128.0,0.0639209533236629,0.72386169761423,3,bank,independent_confirmatory64,3,150,1.0,8.0,0.1,2026523136,8,0.2117272840234076,7.613205652028172e-05,1.2046853887561575,1.1630733154742794,1.1502693216384334,1.1464078023903364,0.0582775863658211,0.0788046186978612,0.6150563949088234,0.3027411556891082,0.4699465762662154,1.637925364488935,2,2,0.3027411556891082,2.031624651457824,2,0.3027411556891082,2.031624651457824,2,0.3027411556891082,2.031624651457824,0.6887669553629899,0.3575204393028395,0.6022207833192983,1.6768574113006849,2,2,0.3575204393028395,1.9265107100060548,2,0.3575204393028395,1.9265107100060548,2,0.3575204393028395,1.9265107100060548,0.8338993224142615,6.020445036919345,8.653001566964772,,,,,,,1.357649036522406,0.6528911774195181,0.3928222703699858,7.613205652028172e-05,0.4210825002580358,0.0003593524613433,0.0787523695166654,0.3541633466702058,7.613205652028172e-05,0.112450544826629,0.0003667254063183,0.3928222703699858,0.061009258692332,1.0986122886681098,-2.5407836709189526,2.0,0.6931471805599453,1.0285627456073057,2.1579062627137766,-9.483041139740523,-0.5071311512097174,15,0.1958406467403336,43,independent_profile_kmeans_holdout_v1,0.7076204736674503,0.3752158975325276,0.641513704514487,1.6925298927361525,2,2,0.3752158975325276,1.8859021654489103,2,0.3752158975325276,1.8859021654489103,2,0.3752158975325276,1.8859021654489103,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000150.npz,,,
confirm_K3_i000321,GRU,0.0426928040392232,0.0342178410769792,128,0.00967625854936,128.0,128.0,0.0232655661449544,10.235883544653506,3,bank,independent_confirmatory64,3,321,5.0,8.0,0.1,2026695777,8,0.3086557400833449,0.0004209479044741,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0007031282106175,0.0007471080979593,0.3777920959553548,0.0747552770223692,0.1483152192090311,1.1740930943362375,2,1,0.3777920959553548,1.0,1,0.3777920959553548,1.0,2,0.0747552770223692,5.053718091932254,0.3788415669978881,0.079498476074855,0.1498409405836396,1.1910146277857814,2,1,0.3788415669978881,1.0,1,0.3788415669978881,1.0,2,0.079498476074855,4.765394076751537,0.4400960934863697,1.786020758859728,2.2069656779375952,,,,,,,1.4214708777150786,0.6835829953492087,0.3730555418280525,0.0004209479044741,0.3831277451058728,0.0007559593671023,0.0104201301748025,0.3730555418280525,0.0152180894417707,0.2084101665289282,0.1180175493241855,0.273701615430684,0.0004209479044741,1.0986122886681098,-7.1993006738506535,1.0,0.0,0.970637190327522,0.7916185756981216,-7.77300147428018,-1.898180943612671,4,0.1385108434885044,49,independent_profile_kmeans_holdout_v1,0.378903116007851,0.0797771274227256,0.1499319613802807,1.192019703606532,2,1,0.378903116007851,1.0,1,0.378903116007851,1.0,2,0.0797771274227256,4.749520674016084,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000321.npz,,,
confirm_K3_i000321,Transformer,0.0328466049824928,0.0235607583783566,8,0.0,,,0.0209106266767495,-25.15936277476621,3,bank,independent_confirmatory64,3,321,5.0,8.0,0.1,2026695777,8,0.3086557400833449,0.0004209479044741,1.3475309797921202,1.346869451695575,1.346830231354772,1.3468278515815026,0.0007031282106175,0.0007471080979593,0.3777920959553548,0.0747552770223692,0.1483152192090311,1.1740930943362375,2,1,0.3777920959553548,1.0,1,0.3777920959553548,1.0,2,0.0747552770223692,5.053718091932254,0.3788415669978881,0.079498476074855,0.1498409405836396,1.1910146277857814,2,1,0.3788415669978881,1.0,1,0.3788415669978881,1.0,2,0.079498476074855,4.765394076751537,0.4400960934863697,1.786020758859728,2.2069656779375952,,,,,,,1.4214708777150786,0.6835829953492087,0.3730555418280525,0.0004209479044741,0.3831277451058728,0.0007559593671023,0.0104201301748025,0.3730555418280525,0.0152180894417707,0.2084101665289282,0.1180175493241855,0.273701615430684,0.0004209479044741,1.0986122886681098,-7.1993006738506535,1.0,0.0,0.970637190327522,0.7916185756981216,-7.77300147428018,-1.898180943612671,4,0.1385108434885044,49,independent_profile_kmeans_holdout_v1,0.378903116007851,0.0797771274227256,0.1499319613802807,1.192019703606532,2,1,0.378903116007851,1.0,1,0.378903116007851,1.0,2,0.0797771274227256,4.749520674016084,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000321.npz,,,
confirm_K3_i000341,GRU,0.0242548031774904,0.0156336502823765,8,0.0,,,0.0193868210416963,1.2005918685155907,3,bank,independent_confirmatory64,3,341,1.0,8.0,2.0,2026715974,8,0.235993282347396,0.0367137904658856,1.9426797231331288,1.9375620566447012,1.9343421948905468,1.9322632441419432,0.0104164789911855,0.0177942422425474,0.1815191831196974,0.0608329019523657,0.0366498558003884,1.3871002179936762,2,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,0.2321969091678692,0.0809585783876282,0.0604696960416574,1.4093594187261091,2,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,0.9075528607362812,10.816992369524332,14.797884504074096,,,,,,,1.9508405275277827,0.938155984876514,0.2271447466548938,0.0367137904658856,0.1799304498751444,0.2271447466548938,0.1010108317620713,0.1195636267568277,0.0954137193303454,0.2237146704298561,0.1254918504293246,0.0367137904658856,0.0709467641707951,1.0986122886681098,-4.028880343531454,2.0,0.6931471805599453,2.5138176330385007,2.6944842316394166,-3.304602832489244,-2.805612931307012,13,0.0956524943623621,56,independent_profile_kmeans_holdout_v1,0.2599547819223148,0.0917133760045286,0.0759878319824263,1.4161789755366825,2,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000341.npz,,,
confirm_K3_i000341,Transformer,0.0260777634387132,0.0195984062082372,32,0.005799200811832,32.0,32.0,0.0270267305773427,1.2269387167607475,3,bank,independent_confirmatory64,3,341,1.0,8.0,2.0,2026715974,8,0.235993282347396,0.0367137904658856,1.9426797231331288,1.9375620566447012,1.9343421948905468,1.9322632441419432,0.0104164789911855,0.0177942422425474,0.1815191831196974,0.0608329019523657,0.0366498558003884,1.3871002179936762,2,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,2,0.0608329019523657,2.983898142190116,0.2321969091678692,0.0809585783876282,0.0604696960416574,1.4093594187261091,2,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,2,0.0809585783876282,2.868095188827482,0.9075528607362812,10.816992369524332,14.797884504074096,,,,,,,1.9508405275277827,0.938155984876514,0.2271447466548938,0.0367137904658856,0.1799304498751444,0.2271447466548938,0.1010108317620713,0.1195636267568277,0.0954137193303454,0.2237146704298561,0.1254918504293246,0.0367137904658856,0.0709467641707951,1.0986122886681098,-4.028880343531454,2.0,0.6931471805599453,2.5138176330385007,2.6944842316394166,-3.304602832489244,-2.805612931307012,13,0.0956524943623621,56,independent_profile_kmeans_holdout_v1,0.2599547819223148,0.0917133760045286,0.0759878319824263,1.4161789755366825,2,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,2,0.0917133760045286,2.834426048273249,project://predictive_profile_confirmatory64_v1/selected_hmms/confirm_K3_i000341.npz,,,
