pair_id,pair_type,K_a,K_b,hmm_a,hmm_b,expected_harder,selection_score,selection_tier,match_protocol,rank_a,rank_b,sigma_a,sigma_b,gain_a,gain_b,tau_a,tau_b,bayes_ce_H_a,bayes_ce_H_b,signal_a,signal_b,sv1_a,sv1_b,min_symbol_prob_a,min_symbol_prob_b,symbol_entropy_a,symbol_entropy_b,gain_ratio,sigma_ratio,tau_ratio,bayes_ce_H_ratio,signal_ratio,sv1_ratio,min_symbol_prob_ratio,symbol_entropy_abs_diff,marginal_js_divergence
strict_rank_K3,rank_contrast,3,3,bank_K3_i000956,bank_K3_i000215,bank_K3_i000215,8.571749483608507,rank_strict,strict_marginal_control_v1,1,2,0.0467344584823409,0.0380394499770688,0.0001519070973601,0.0001842059486509,2.427362853863711,2.0394844914736163,2.0661833719904767,2.040538652878537,0.0022816321999619,0.0033448258993496,0.0467344584823409,0.0435640464694424,0.0893761834688823,0.0597462587189626,2.067192984885059,2.0420330715966224,1.212622397847776,1.2285787126394754,1.1901845118272194,1.0125676223166675,1.465979442000097,1.0727758844698314,1.495929375080946,0.0251599132884368,0.0133312614347891
strict_sigma_K3,sigma_contrast,3,3,bank_K3_i000970,bank_K3_i001094,bank_K3_i001094,3.26359463055836,sigma_strict,strict_marginal_control_v1,2,2,0.1528230516729497,0.0235055110160089,0.0018908360569607,0.0015330101261472,2.030265310051892,2.53964731479984,1.895247497952533,2.0369179898406355,0.0586523734220301,0.0085529067381815,0.1878762579449491,0.0894449422273712,0.0300515995079498,0.0729526594679888,1.9243707325989416,2.0399782991490123,1.2334139381797806,6.501583886811332,1.2508943054023458,1.0747503911975358,6.857595343603693,2.1004682128069705,2.4275799179571087,0.1156075665500706,0.0454244378229145
strict_rank_K4,rank_contrast,4,4,bank_K4_i000559,bank_K4_i000184,bank_K4_i000184,9.53926780583815,rank_strict,strict_marginal_control_v1,2,3,0.021667296178334,0.0218993114485598,0.0001812126288944,0.0001659653127799,1.60702817626332,1.4557269956459489,1.959198924562864,1.9690923182487583,0.0098216790993108,0.0089626851671213,0.0960890195157738,0.0740588597048616,0.0277245803971531,0.028994497487283,1.96395979497747,1.973300718912117,1.0918704990766397,1.010708085970496,1.1039351341768822,1.0050497137181216,1.0958411364643972,1.2974682556375632,1.045804736156088,0.0093409239346469,0.009765037153733
strict_sigma_K4,sigma_contrast,4,4,bank_K4_i001237,bank_K4_i000146,bank_K4_i000146,3.5261057122195125,sigma_strict,strict_marginal_control_v1,2,2,0.0275834890209752,0.004179104602421,1.7689654852492964e-05,1.5072548923633631e-05,1.2352821290637177,1.65510156077083,1.9714987467938745,2.063559406970776,0.0031907626575691,0.0004160707621039,0.049275422685877,0.0198107152838715,0.0362699680822082,0.0984064218959406,1.973086088687164,2.0637543697121634,1.173633931601027,6.600334675757049,1.339857123995888,1.046695774129511,7.668798070392439,2.487311638161476,2.713165384455149,0.0906682810249996,0.022894855864589
strict_rank_K5,rank_contrast,5,5,bank_K5_i000689,bank_K5_i000044,bank_K5_i000044,19.30969841458593,rank_strict,strict_marginal_control_v1,2,4,0.0249248774145752,0.0320157009190855,0.0030164459327082,0.003026983063723,4.596470796377838,4.07610285759632,2.044272707546056,2.0282908088739515,0.015834045244747,0.0163352813569714,0.1217324034058806,0.082966679488627,0.0857535820516081,0.089131418591814,2.050035520603857,2.034127383437677,1.003493227211714,1.2844877985383325,1.127663102959178,1.0078794907525992,1.0316555942891907,1.4672444908750093,1.0393900343215168,0.0159081371661802,0.0178435767726284
strict_sigma_K5,sigma_contrast,5,5,bank_K5_i000130,bank_K5_i000458,bank_K5_i000458,4.351951542139667,sigma_strict,strict_marginal_control_v1,2,2,0.0589355022539428,0.0096543170404922,0.0001130594712024,0.0001215162379133,1.3664751153241823,1.4758390189088595,2.0414311820884663,2.0059206982416304,0.0088044708113621,0.0013868427851138,0.0725191950220529,0.0355503787505513,0.0730920789922023,0.0737979388222331,2.0457393874524445,2.0065101432985144,1.0747992770615442,6.104574979955094,1.0800335859454944,1.0177028353503526,6.348571666426944,2.03989936453007,1.0096571316586316,0.0392292441539301,0.0351088030746662
strict_rank_K6,rank_contrast,6,6,bank_K6_i000841,bank_K6_i000250,bank_K6_i000250,19.42457373405068,rank_strict,strict_marginal_control_v1,3,5,0.2638137548805807,0.2715593595533595,0.1370345342928802,0.1381039245503708,16.872984849898963,18.529366237649253,1.7153966797544191,1.756448451026393,0.6526757653751998,0.7855710020837056,0.6565035551851905,0.557213324070597,0.051399329565614,0.0360552983204193,1.9434469972691089,1.938743796702596,1.0078038011586554,1.0293601244419004,1.0981676569074978,1.0239313575434057,1.2036160123581563,1.1781906979345915,1.425569388133583,0.0047032005665128,0.0035290846514173
strict_sigma_K6,sigma_contrast,6,6,bank_K6_i001071,bank_K6_i000724,bank_K6_i000724,4.839119379502556,sigma_strict,strict_marginal_control_v1,2,2,0.1431275966561385,0.0179429320630109,0.0001827168519374,0.0001803698242837,1.3737935960200147,1.4279012690433766,1.8893286056259635,1.9914153102713283,0.054991930937058,0.0068146248614508,0.1794390836357102,0.0794581908345543,0.040592477912315,0.0377623516815917,1.916977247806456,1.9946552544845984,1.013012307701805,7.9768231944206045,1.0393855912417382,1.0540333239762396,8.069693057961006,2.2582830259668687,1.0749457092764396,0.0776780066781426,0.0454491614315053
