hmm_id,source,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,selection_order,match_protocol
bank_K3_i000956,bank,3,956,1.0,0.0,2.0,21525914,8,0.1705426497946154,0.0893761834688823,2.066313200129993,2.0662030027874656,2.0661858201513312,2.0661833719904767,0.0001298281395167,0.0001519070973601,0.0439466719199532,0.0094392049606427,0.002020408563129,1.1981275163258494,2,1,0.0439466719199532,1.0,1,0.0439466719199532,1.0,2,0.0094392049606427,4.655759897490444,0.0467344584823409,0.0098753526683513,0.0022816321999619,1.1931107834669676,2,1,0.0467344584823409,1.0,1,0.0467344584823409,1.0,2,0.0098753526683513,4.732434380001053,0.4130736757133479,1.703791359529488,2.427362853863711,,,,,,,2.067192984885059,0.9941096892847096,0.1535627630223741,0.0893761834688823,0.0547316499000684,0.1288742203247439,0.1133947619480455,0.0893761834688823,0.1460223648436172,0.1535627630223741,0.1162864017961146,0.1152866394371942,0.1371966651590281,0,strict_marginal_control_v1
bank_K3_i000215,bank,3,215,5.0,8.0,2.0,20777769,8,0.2695373374383211,0.0597462587189626,2.0407029095017046,2.040556755063586,2.040540500018972,2.040538652878537,0.0001642566231674,0.0001842059486509,0.0415663670879617,0.0358928826839293,0.0030160619002534,1.978806547843556,2,2,0.0358928826839293,1.1580671146977175,2,0.0358928826839293,1.1580671146977175,2,0.0358928826839293,1.1580671146977175,0.0435640464694424,0.0380394499770688,0.0033448258993496,1.981860835553015,2,2,0.0380394499770688,1.1452333431662118,2,0.0380394499770688,1.1452333431662118,2,0.0380394499770688,1.1452333431662118,0.3457834174709702,1.5285457854557312,2.0394844914736163,,,,,,,2.0420330715966224,0.9820103285745684,0.1793075069562636,0.0597462587189626,0.0930152733561445,0.1793075069562636,0.1448121619257597,0.1188366830557956,0.1232530336070358,0.139382958749805,0.0988047840294925,0.1358566129568849,0.0597462587189626,1,strict_marginal_control_v1
bank_K3_i000970,bank,3,970,5.0,8.0,0.5,21540040,8,0.2906506066914907,0.0300515995079498,1.897029482417906,1.8953506489049856,1.895253198591668,1.895247497952533,0.001781984465373,0.0018908360569607,0.1836458187492523,0.1482361007301177,0.0556997283037528,1.9556479235540736,2,2,0.1482361007301177,1.2388737820593536,2,0.1482361007301177,1.2388737820593536,2,0.1482361007301177,1.2388737820593536,0.1878762579449491,0.1528230516729497,0.0586523734220301,1.9586816637071405,2,2,0.1528230516729497,1.2293711968729384,2,0.1528230516729497,1.2293711968729384,2,0.1528230516729497,1.2293711968729384,0.3380195936581419,1.510618728922896,2.030265310051892,,,,,,,1.9243707325989416,0.925426704250785,0.2372114809535595,0.0300515995079498,0.1905269273449634,0.0920688576915113,0.1967563835794207,0.0904462752967509,0.1483957848968592,0.2372114809535595,0.0491037138780417,0.0300515995079498,0.1559659041959067,2,strict_marginal_control_v1
bank_K3_i001094,bank,3,1094,1.0,2.0,2.0,21665241,8,0.1820954177296087,0.0729526594679888,2.038070065287568,2.037227465828586,2.0369894485319,2.0369179898406355,0.0011520754469325,0.0015330101261472,0.0754083802071391,0.0205719519488205,0.006109629012449,1.2862651902421365,2,1,0.0754083802071391,1.0,2,0.0205719519488205,3.665591889128568,2,0.0205719519488205,3.665591889128568,0.0894449422273712,0.0235055110160089,0.0085529067381815,1.2705356608921574,2,1,0.0894449422273712,1.0,2,0.0235055110160089,3.805275374207052,2,0.0235055110160089,3.805275374207052,0.5756807170860586,2.3567158983034378,2.53964731479984,,,,,,,2.0399782991490123,0.9810221919011276,0.1734117083557294,0.0729526594679888,0.0983446181101273,0.1726884792594775,0.1734117083557294,0.1407395339285274,0.1296848545332306,0.1001838816097193,0.0729526594679888,0.1235110752859027,0.0868278075594241,3,strict_marginal_control_v1
bank_K4_i000559,bank,4,559,5.0,0.0,0.5,21225086,8,0.2027631064928904,0.0277245803971532,1.9593731132608008,1.959205700569541,1.9591991724871445,1.959198924562864,0.0001741886979367,0.0001812126288944,0.0944582515914136,0.0211238132261354,0.0094763593654676,1.2859775506417237,3,1,0.0944582515914136,1.0,2,0.0211238132261354,4.471647736145717,3,0.0103818392661511,9.098412060701447,0.0960890195157738,0.021667296178334,0.0098216790993108,1.2929781476591682,3,1,0.0960890195157738,1.0,2,0.021667296178334,4.434748974902408,3,0.0109136476087692,8.804482512204737,0.2692780184716524,1.368509536155518,1.60702817626332,0.0103818392661511,0.0109136476087692,,,,,1.96395979497747,0.944465018906434,0.2241575970409101,0.0277245803971531,0.1625105507390153,0.0757375526468029,0.1060864621821791,0.1330302413794778,0.1398564782501213,0.2241575970409101,0.1860935477850666,0.1073135403182889,0.0277245803971531,4,strict_marginal_control_v1
bank_K4_i000184,bank,4,184,5.0,2.0,0.5,20846473,8,0.193622144849033,0.028994497487283,1.969251238841028,1.9690990781018545,1.9690926031161728,1.9690923182487583,0.0001589205922696,0.0001659653127799,0.07239676377659,0.0542833627267386,0.0086409271432282,2.2811483050420738,3,2,0.0542833627267386,1.3336823685930057,3,0.021282675324832,3.401675901718972,3,0.021282675324832,3.401675901718972,0.0740588597048616,0.0547575622577919,0.0089626851671213,2.2785081995006293,3,2,0.0547575622577919,1.352486426554229,3,0.0218993114485598,3.3817894173897365,3,0.0218993114485598,3.3817894173897365,0.2514300702535187,1.3358805373583076,1.4557269956459489,0.021282675324832,0.0218993114485598,,,,,1.973300718912117,0.9489570537857126,0.2437142950789785,0.028994497487283,0.1593474891295821,0.151030257427824,0.1164379444184878,0.1092957204513776,0.116892365131463,0.2437142950789785,0.1378452126712488,0.0957897073333368,0.028994497487283,5,strict_marginal_control_v1
bank_K4_i001237,bank,4,1237,5.0,2.0,0.5,21909613,8,0.2086642440239256,0.0362699680822082,1.9715162329924167,1.9714989479325824,1.971498749111477,1.9714987467938745,1.74861985422492e-05,1.7689654852492964e-05,0.0489974117928433,0.0274473725641389,0.003155911433132,1.7406917059048366,3,2,0.0274473725641389,1.7851403327712465,2,0.0274473725641389,1.7851403327712465,2,0.0274473725641389,1.7851403327712465,0.049275422685877,0.0275834890209752,0.0031907626575691,1.7402448013707703,3,2,0.0275834890209752,1.7864100748243483,2,0.0275834890209752,1.7864100748243483,2,0.0275834890209752,1.7864100748243483,0.1117874055031924,1.125856586807939,1.2352821290637177,0.0013441763500167,0.0013588635424807,,,,,1.973086088687164,0.9488538384653242,0.2098075910475615,0.0362699680822082,0.1578646532689078,0.0731066533543293,0.0999092723095458,0.19587278755633,0.0362699680822082,0.1455740324717647,0.1424415935055487,0.2098075910475615,0.0970181016727112,6,strict_marginal_control_v1
bank_K4_i000146,bank,4,146,1.0,0.0,2.0,20808114,8,0.1116042746734883,0.0984064218959406,2.063573372658282,2.0635604434167787,2.0635594773861907,2.063559406970776,1.3965687506001244e-05,1.5072548923633631e-05,0.0191458497082888,0.0039593190206867,0.0003882772323975,1.2823001490358592,3,1,0.0191458497082888,1.0,2,0.0039593190206867,4.835642091040224,3,0.0024571251977901,7.791971579432691,0.0198107152838715,0.004179104602421,0.0004160707621039,1.2845569799501888,3,1,0.0198107152838715,1.0,2,0.004179104602421,4.740421015639256,3,0.0024781861849577,7.994038302739136,0.2772206133427831,1.3835480347950997,1.65510156077083,0.0024571251977901,0.0024781861849577,,,,,2.0637543697121634,0.9924560649322224,0.1712571496475343,0.0984064218959406,0.0636864341841935,0.1145115716115661,0.0984064218959406,0.1399427999379005,0.1017192448117753,0.1712571496475343,0.124746439712944,0.111795071857055,0.1376213005252838,7,strict_marginal_control_v1
bank_K5_i000689,bank,5,689,1.0,2.0,2.0,21456341,8,0.0921540089392878,0.0857535820516081,2.046372516277671,2.0449919473192635,2.044470104973941,2.044272707546056,0.0020998087316153,0.0030164459327082,0.1033540828447865,0.0218871682920912,0.0114913871203645,1.3605449451352618,4,1,0.1033540828447865,1.0,2,0.0218871682920912,4.7221313175598185,3,0.0177336166361642,5.8281446455776,0.1217324034058806,0.0249248774145752,0.015834045244747,1.3323485422644286,4,1,0.1217324034058806,1.0,2,0.0249248774145752,4.883972000387678,3,0.0191971022958648,6.341186369158564,0.661500882738138,2.954217452881577,4.596470796377838,0.0177336166361642,0.0191971022958648,0.0039738375448361,0.00504865874124,,,2.050035520603857,0.9858586930738032,0.1764010140417194,0.0857535820516081,0.0865953732837941,0.1221735788952369,0.0909657788268366,0.1284240454145278,0.1072118070374999,0.1675428382343045,0.0857535820516081,0.1764010140417194,0.1215273554982664,8,strict_marginal_control_v1
bank_K5_i000044,bank,5,44,1.0,8.0,2.0,20805128,8,0.0816888923350293,0.089131418591814,2.03037938395748,2.0290186489133624,2.028501376814736,2.0282908088739515,0.0020885750835284,0.003026983063723,0.0723482412146085,0.0615992329857031,0.0118398403973727,3.298524178275068,4,3,0.0466803336642792,1.5498655544094984,4,0.0251406709355612,2.877737089835282,4,0.0251406709355612,2.877737089835282,0.082966679488627,0.0720653150212921,0.0163352813569714,3.3968013137324005,4,3,0.0568629643717634,1.4590635645760683,4,0.0320157009190855,2.5914372356960693,4,0.0320157009190855,2.5914372356960693,0.6447415738726238,2.814852305970231,4.07610285759632,0.0466803336642792,0.0568629643717634,0.0251406709355612,0.0320157009190855,,,2.034127383437677,0.9782084962073266,0.2253720914881218,0.089131418591814,0.1140724819459955,0.1276866034228983,0.089131418591814,0.2253720914881218,0.1223316173709197,0.0966319139107015,0.1267023432302213,0.1135852262226888,0.0985587857626342,9,strict_marginal_control_v1
