architecture,outcome,process_icc,icc_ci_low,icc_ci_high,dataset_pair_spearman_min,dataset_pair_spearman_max
GRU,A_width_shape,0.7940771439199028,0.6000971522031847,0.8900847836279521,0.7647058823529411,0.8735294117647058
GRU,mean_excess_ce_H,0.5499541991660333,0.2119948592578615,0.6963460823638539,0.4794117647058824,0.5
Transformer,A_width_shape,0.7986199912520718,0.6213888751354674,0.8712174443624038,0.75,0.8382352941176471
Transformer,mean_excess_ce_H,0.8073722023849974,0.5908241274343952,0.871898798601278,0.6147058823529412,0.7558823529411764
